OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_matched_from_input_file,_source_file
,,,25502.0,,,,Via,,Ventana,,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,Office of Assessor,{4CF31583-52AE-4605-8D65-608BA4A6211D},0.0,,4CF31583-52AE-4605-8D65-608BA4A6211D,Unknown,,,,Via,,Via Ventana,2019-09-30 10:01:21+00:00,25502 Via Ventana Stevenson Ranch 91381,4CF31583-52AE-4605-8D65-608BA4A6211D_25502_Via_Ventana_Stevenson_Ranch_91381,Via Ventana,25502 Via Ventana Stevenson Ranch 91381,,,POINT (6386041.524057 1970929.0512),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2561.0,1/2,,East,,,Carson,Street,,,,,,,,,,,,,90810,,Carson,Long Beach,Carson,,,,Carson GIS,{90C986DA-6743-49D2-838F-D6B89E35CE8F},0.0,,90C986DA-6743-49D2-838F-D6B89E35CE8F,Unknown,,E,,,St,E Carson St,2018-03-30 06:35:17+00:00,2561 1/2 E Carson St Long Beach 90810,90C986DA-6743-49D2-838F-D6B89E35CE8F_2561_1/2_E_Carson_St_Long_Beach_90810,Carson,2561 1/2 E Carson Street St Carson 90810,,,POINT (6493843.546313 1761336.65805),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25254.0,,,,,,Belleza,Court,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{448B3AF8-8F5D-48EA-B8E8-83B44123470A},0.0,,448B3AF8-8F5D-48EA-B8E8-83B44123470A,Unknown,,,,,Ct,Belleza Ct,2015-05-04 20:47:46+00:00,25254 Belleza Ct Stevenson Ranch 91381,448B3AF8-8F5D-48EA-B8E8-83B44123470A_25254_Belleza_Ct_Stevenson_Ranch_91381,Belleza,25254 Belleza Court Ct Stevenson Ranch 91381,,,POINT (6387183.513242 1961527.774727),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2202.0,,,East,,Del,Amo,Boulevard,,,,,,,,,,,,,90810,,Carson,Long Beach,Carson,,,,Carson GIS,{3ADCC73D-C26F-4E68-A437-C06156A01C9E},0.0,,3ADCC73D-C26F-4E68-A437-C06156A01C9E,Unknown,,E,,,Blvd,E Del Amo Blvd,2015-03-24 09:32:55+00:00,2202 E Del Amo Blvd Long Beach 90810,3ADCC73D-C26F-4E68-A437-C06156A01C9E_2202_E_Del_Amo_Blvd_Long_Beach_90810,Del Amo,2202 E Del Amo Boulevard Blvd Carson 90810,,,POINT (6492938.045171 1766443.341734),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25602.0,,,,Via,,Alisa,,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{C7CD3C9D-76BB-46F0-927B-7D4D756ADDCF},0.0,,C7CD3C9D-76BB-46F0-927B-7D4D756ADDCF,Unknown,,,,Via,,Via Alisa,2019-09-30 12:50:17+00:00,25602 Via Alisa Stevenson Ranch 91381,C7CD3C9D-76BB-46F0-927B-7D4D756ADDCF_25602_Via_Alisa_Stevenson_Ranch_91381,Via Alisa,25602 Via Alisa Stevenson Ranch 91381,,,POINT (6385344.519873 1970263.438686),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25601.0,,,,Via,,Viejo,,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{ADBAD097-EF31-4775-8659-AF1F02787075},0.0,,ADBAD097-EF31-4775-8659-AF1F02787075,Unknown,,,,Via,,Via Viejo,2019-09-30 12:27:39+00:00,25601 Via Viejo Stevenson Ranch 91381,ADBAD097-EF31-4775-8659-AF1F02787075_25601_Via_Viejo_Stevenson_Ranch_91381,Via Viejo,25601 Via Viejo Stevenson Ranch 91381,,,POINT (6385189.975235 1970575.692327),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,13501.0,,,,,,McGee,Drive,,,,,,,,,,,,,90605,,Unincorporated,Whittier,,,,,LACO DPW House Numbering Map,{F8744BDD-ED48-4F23-9826-68473C001419},0.0,,F8744BDD-ED48-4F23-9826-68473C001419,Unknown,,,,,Dr,McGee Dr,2018-04-14 01:21:33+00:00,13501 McGee Dr Whittier 90605,F8744BDD-ED48-4F23-9826-68473C001419_13501_McGee_Dr_Whittier_90605,McGee,13501 McGee Drive Dr Whittier 90605,,,POINT (6549586.869537 1805456.400847),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,26712.0,,,,Via,La,Paz,,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,Office of Assessor,{637675BB-D35C-4935-8AC6-0A88D8BF4AA5},0.0,,637675BB-D35C-4935-8AC6-0A88D8BF4AA5,Unknown,,,,Via,,Via La Paz,2019-09-30 11:02:28+00:00,26712 Via La Paz Stevenson Ranch 91381,637675BB-D35C-4935-8AC6-0A88D8BF4AA5_26712_Via_La_Paz_Stevenson_Ranch_91381,Via La Paz,26712 Via La Paz Stevenson Ranch 91381,,,POINT (6385587.4436 1970373.608413),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2523.0,,,East,,,Carson,Street,,,,,,,,,,,,,90810,,Carson,Long Beach,Carson,,,,CAMS,{9141D6DB-D66F-49D4-B0A0-73C772B7A184},0.0,,9141D6DB-D66F-49D4-B0A0-73C772B7A184,Unknown,,E,,,St,E Carson St,2018-03-30 06:35:17+00:00,2523 E Carson St Long Beach 90810,9141D6DB-D66F-49D4-B0A0-73C772B7A184_2523_E_Carson_St_Long_Beach_90810,Carson,2523 E Carson Street St Carson 90810,,,POINT (6493494.962365 1761357.939831),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,26706.0,,,,Via,,Collina,,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{FAC464DB-302F-485E-8429-E23606963939},0.0,,FAC464DB-302F-485E-8429-E23606963939,Unknown,,,,Via,,Via Collina,2019-09-30 12:31:59+00:00,26706 Via Collina Stevenson Ranch 91381,FAC464DB-302F-485E-8429-E23606963939_26706_Via_Collina_Stevenson_Ranch_91381,Via Collina,26706 Via Collina Stevenson Ranch 91381,,,POINT (6385830.645869 1970736.956768),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
