group_id,group_size,merge_key,FullAddress,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_has_u_pattern,_group_size,_group_id_norm,_representative_address,_representative_uniqueid,_representative_source,_original_group_representative_address,_original_group_representative_uniqueid,_master_rows_in_this_group,_group,_old_addr,_old_addr_norm,_current_rep_validated,_validated_addr_same_group,_replaced,_status,_rep_original_order,_rep_id_norm,_rep_addr_norm,_aligned_from_validation_order,_aligned_validation_input_address,_aligned_validation_uniqueid,_match_method,_matched_from_input_file,_source_file
41550,7,1/4 N MARIPOSA AVE LOS ANGELES 90029,1005 1/4 N Mariposa Ave Los Angeles 90029,,5538001014,,1003.0,1/4,,North,,,Mariposa,Avenue,,,,,,,,,,,,,90029,,Los Angeles,Los Angeles,,,,,LA City,{947FF928-F963-41A7-859E-FA8A479F100D},0.0,,947FF928-F963-41A7-859E-FA8A479F100D,Unknown,,N,,,Ave,N Mariposa Ave,2024-05-12 21:05:27+00:00,947FF928-F963-41A7-859E-FA8A479F100D_1003_1/4_N_Mariposa_Ave_Los_Angeles_90029,Mariposa,1003 1/4 N Mariposa Avenue Ave Los Angeles 90029,,,POINT (6470939.923485 1854975.709944),False,7,41550,1005 1/4 N Mariposa Ave Los Angeles 90029,,validated_master,1003 1/4 N Mariposa Ave Los Angeles 90029,947FF928-F963-41A7-859E-FA8A479F100D_1003_1/4_N_Mariposa_Ave_Los_Angeles_90029,1,41550,1003 1/4 N Mariposa Ave Los Angeles 90029,1003 1/4 N MARIPOSA AVE LOS ANGELES 90029,False,1005 1/4 N Mariposa Ave Los Angeles 90029,True,replaced_with_validated_same_group,3248,947FF928-F963-41A7-859E-FA8A479F100D_1003_1/4_N_Mariposa_Ave_Los_Angeles_90029,1005 1/4 N Mariposa Ave Los Angeles 90029,266,1005 1/4 N Mariposa Ave Los Angeles 90029,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
175,1,1/2 ALICE ST SUN VALLEY 91352,10059 1/2 Alice St Sun Valley 91352,,2544020020,,10059.0,1/2,,,,,Alice,Street,,,,,,,,,,,,,91352,,Los Angeles,Sun Valley,,,,,Assessor,{87E128B6-AEB2-479D-8673-0E7A6968D2DF},0.0,,87E128B6-AEB2-479D-8673-0E7A6968D2DF,Unknown,,,,,St,Alice St,2024-04-27 17:13:09+00:00,87E128B6-AEB2-479D-8673-0E7A6968D2DF_10059_1/2_Alice_St_Sun_Valley_91352,Alice,10059 1/2 Alice Street St Los Angeles 91352,,,POINT (6455818.21718 1908424.549897),False,1,175,10059 1/2 Alice St Sun Valley 91352,,validated_master,10059 1/2 Alice St Sun Valley 91352,87E128B6-AEB2-479D-8673-0E7A6968D2DF_10059_1/2_Alice_St_Sun_Valley_91352,1,175,10059 1/2 Alice St Sun Valley 91352,10059 1/2 ALICE ST SUN VALLEY 91352,True,10059 1/2 Alice St Sun Valley 91352,False,keep_original_already_validated,642,87E128B6-AEB2-479D-8673-0E7A6968D2DF_10059_1/2_Alice_St_Sun_Valley_91352,10059 1/2 Alice St Sun Valley 91352,279,10059 1/2 Alice St Sun Valley 91352,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
29506,3,1/2 PROMENADE TUJUNGA 91042,10296 1/2 Promenade Tujunga 91042,,2568008038,,10065.0,1/2,,,,,Promenade,,,,,,,,,,,,,,91042,,Los Angeles,Tujunga,,,,,Assessor,{DE606CD3-3AFD-43B8-95BF-B62601D61CE6},0.0,,DE606CD3-3AFD-43B8-95BF-B62601D61CE6,Unknown,,,,,,Promenade,2024-04-27 17:13:09+00:00,DE606CD3-3AFD-43B8-95BF-B62601D61CE6_10065_1/2_Promenade_Tujunga_91042,Promenade,10065 1/2 Promenade Los Angeles 91042,,,POINT (6474342.006248 1914249.949992),False,3,29506,10296 1/2 Promenade Tujunga 91042,,validated_master,10065 1/2 Promenade Tujunga 91042,DE606CD3-3AFD-43B8-95BF-B62601D61CE6_10065_1/2_Promenade_Tujunga_91042,1,29506,10065 1/2 Promenade Tujunga 91042,10065 1/2 PROMENADE TUJUNGA 91042,False,10296 1/2 Promenade Tujunga 91042,True,replaced_with_validated_same_group,2142,DE606CD3-3AFD-43B8-95BF-B62601D61CE6_10065_1/2_Promenade_Tujunga_91042,10296 1/2 Promenade Tujunga 91042,284,10296 1/2 Promenade Tujunga 91042,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
23794,2,1/4 FOOTHILL BLVD BELLFLOWER 90706,10119 1/4 Foothill Blvd Bellflower 90706,,6274016054,,10119.0,1/4,,,,,Foothill,Boulevard,,,,,,,,,,,,,90706,,Bellflower ,Bellflower,,,,,Assessor,{EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB},0.0,,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB,Unknown,,,,,Blvd,Foothill Blvd,2024-04-27 17:13:09+00:00,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB_10119_1/4_Foothill_Blvd_Bellflower_90706,Foothill,10119 1/4 Foothill Boulevard Blvd Bellflower  90706,,,POINT (6525652.056187 1785541.051898),False,2,23794,10119 1/4 Foothill Blvd Bellflower 90706,,validated_master,10119 1/4 Foothill Blvd Bellflower 90706,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB_10119_1/4_Foothill_Blvd_Bellflower_90706,1,23794,10119 1/4 Foothill Blvd Bellflower 90706,10119 1/4 FOOTHILL BLVD BELLFLOWER 90706,True,10119 1/4 Foothill Blvd Bellflower 90706,False,keep_original_already_validated,1439,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB_10119_1/4_Foothill_Blvd_Bellflower_90706,10119 1/4 Foothill Blvd Bellflower 90706,316,10119 1/4 Foothill Blvd Bellflower 90706,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
32993,4,1/2 ANDREW DR TUJUNGA 91042,10267 1/2 Andrew Dr Tujunga 91042,,2558026007,,10136.0,1/2,,,,,Andrew,Drive,,,,,,,,,,,,,91042,,Los Angeles,Tujunga,,,,,Assessor,{616375CD-B64F-40A6-82D1-F43A35230989},0.0,,616375CD-B64F-40A6-82D1-F43A35230989,Unknown,,,,,Dr,Andrew Dr,2024-04-27 17:13:09+00:00,616375CD-B64F-40A6-82D1-F43A35230989_10136_1/2_Andrew_Dr_Tujunga_91042,Andrew,10136 1/2 Andrew Drive Dr Los Angeles 91042,,,POINT (6472473.241285 1914743.143887),False,4,32993,10267 1/2 Andrew Dr Tujunga 91042,,validated_master,10136 1/2 Andrew Dr Tujunga 91042,616375CD-B64F-40A6-82D1-F43A35230989_10136_1/2_Andrew_Dr_Tujunga_91042,1,32993,10136 1/2 Andrew Dr Tujunga 91042,10136 1/2 ANDREW DR TUJUNGA 91042,False,10267 1/2 Andrew Dr Tujunga 91042,True,replaced_with_validated_same_group,2489,616375CD-B64F-40A6-82D1-F43A35230989_10136_1/2_Andrew_Dr_Tujunga_91042,10267 1/2 Andrew Dr Tujunga 91042,324,10267 1/2 Andrew Dr Tujunga 91042,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
2032,1,1/2 OLD RANCH RD SAN FERNANDO 91345,10147 1/2 Old Ranch Rd San Fernando 91345,,2660003003,,10147.0,1/2,,,,,Old Ranch,Road,,,,,,,,,,,,,91345,,Los Angeles,San Fernando,Mission Hills,,,,Assessor,{F5A4C656-C39E-4557-AA0B-9296E38A7A19},0.0,,F5A4C656-C39E-4557-AA0B-9296E38A7A19,Unknown,,,,,Rd,Old Ranch Rd,2024-04-27 17:13:09+00:00,F5A4C656-C39E-4557-AA0B-9296E38A7A19_10147_1/2_Old_Ranch_Rd_San_Fernando_91345,Old Ranch,10147 1/2 Old Ranch Road Rd Los Angeles 91345,,,POINT (6420304.153366 1915528.009115),False,1,2032,10147 1/2 Old Ranch Rd San Fernando 91345,,validated_master,10147 1/2 Old Ranch Rd San Fernando 91345,F5A4C656-C39E-4557-AA0B-9296E38A7A19_10147_1/2_Old_Ranch_Rd_San_Fernando_91345,1,2032,10147 1/2 Old Ranch Rd San Fernando 91345,10147 1/2 OLD RANCH RD SAN FERNANDO 91345,True,10147 1/2 Old Ranch Rd San Fernando 91345,False,keep_original_already_validated,1077,F5A4C656-C39E-4557-AA0B-9296E38A7A19_10147_1/2_Old_Ranch_Rd_San_Fernando_91345,10147 1/2 Old Ranch Rd San Fernando 91345,327,10147 1/2 Old Ranch Rd San Fernando 91345,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
23197,2,1/2 OLIVE AVE LOS ANGELES 90029,1016 1/2 Olive Ave Los Angeles 90029,,5427014013,,1016.0,1/2,,,,,Olive,Avenue,,,,,,,,,,,,,90029,,Los Angeles,Los Angeles,,,,,Assessor,{FC3AB464-ECDC-479B-94B5-A9B61EA56DC3},0.0,,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3,Unknown,,,,,Ave,Olive Ave,2024-04-27 17:13:09+00:00,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3_1016_1/2_Olive_Ave_Los_Angeles_90029,Olive,1016 1/2 Olive Avenue Ave Los Angeles 90029,,,POINT (6476865.240375 1855285.833996),False,2,23197,1016 1/2 Olive Ave Los Angeles 90029,,validated_master,1016 1/2 Olive Ave Los Angeles 90029,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3_1016_1/2_Olive_Ave_Los_Angeles_90029,1,23197,1016 1/2 Olive Ave Los Angeles 90029,1016 1/2 OLIVE AVE LOS ANGELES 90029,True,1016 1/2 Olive Ave Los Angeles 90029,False,keep_original_already_validated,1386,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3_1016_1/2_Olive_Ave_Los_Angeles_90029,1016 1/2 Olive Ave Los Angeles 90029,334,1016 1/2 Olive Ave Los Angeles 90029,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
482,1,1/2 CLL POST AVE SAN DIMAS 91773,102 1/2 Cll Post Ave San Dimas 91773,,8448031041,,102.0,1/2,,,Calle,,Post,Avenue,,,,,,,,,,,,,91773,,San Dimas  ,San Dimas,,,,,Assessor,{7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C},0.0,,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C,Unknown,,,,Cll,Ave,Cll Post Ave,2024-04-27 17:13:09+00:00,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C_102_1/2_Cll_Post_Ave_San_Dimas_91773,Calle Post,102 1/2 Calle Post Avenue Ave San Dimas   91773,,,POINT (6617311.119259 1848735.511139),False,1,482,102 1/2 Cll Post Ave San Dimas 91773,,validated_master,102 1/2 Cll Post Ave San Dimas 91773,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C_102_1/2_Cll_Post_Ave_San_Dimas_91773,1,482,102 1/2 Cll Post Ave San Dimas 91773,102 1/2 CLL POST AVE SAN DIMAS 91773,True,102 1/2 Cll Post Ave San Dimas 91773,False,keep_original_already_validated,3927,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C_102_1/2_Cll_Post_Ave_San_Dimas_91773,102 1/2 Cll Post Ave San Dimas 91773,339,102 1/2 Cll Post Ave San Dimas 91773,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
29514,3,1/2 ROSE CT TUJUNGA 91042,10204 1/2 Rose Ct Tujunga 91042,,2558031014,,10204.0,1/2,,,,,Rose,Court,,,,,,,,,,,,,91042,,Los Angeles,Tujunga,,,,,Assessor,{A727CC2D-B99A-47E2-AD8D-4470C7D08D15},0.0,,A727CC2D-B99A-47E2-AD8D-4470C7D08D15,Unknown,,,,,Ct,Rose Ct,2024-04-27 17:13:09+00:00,A727CC2D-B99A-47E2-AD8D-4470C7D08D15_10204_1/2_Rose_Ct_Tujunga_91042,Rose,10204 1/2 Rose Court Ct Los Angeles 91042,,,POINT (6472014.943317 1915044.280096),False,3,29514,10204 1/2 Rose Ct Tujunga 91042,,validated_master,10204 1/2 Rose Ct Tujunga 91042,A727CC2D-B99A-47E2-AD8D-4470C7D08D15_10204_1/2_Rose_Ct_Tujunga_91042,1,29514,10204 1/2 Rose Ct Tujunga 91042,10204 1/2 ROSE CT TUJUNGA 91042,True,10204 1/2 Rose Ct Tujunga 91042,False,keep_original_already_validated,2144,A727CC2D-B99A-47E2-AD8D-4470C7D08D15_10204_1/2_Rose_Ct_Tujunga_91042,10204 1/2 Rose Ct Tujunga 91042,350,10204 1/2 Rose Ct Tujunga 91042,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
159,1,1/2 ALAMEDA ST CHATSWORTH 91311,10216 1/2 Alameda St Chatsworth 91311,,2741005008,,10216.0,1/2,,,,,Alameda,Street,,,,,,,,,,,,,91311,,Los Angeles,Chatsworth,,,,,Assessor,{0F580EDD-7F66-4514-B020-670250F14407},0.0,,0F580EDD-7F66-4514-B020-670250F14407,Unknown,,,,,St,Alameda St,2024-04-27 17:13:09+00:00,0F580EDD-7F66-4514-B020-670250F14407_10216_1/2_Alameda_St_Chatsworth_91311,Alameda,10216 1/2 Alameda Street St Los Angeles 91311,,,POINT (6386725.849132 1915905.819055),False,1,159,10216 1/2 Alameda St Chatsworth 91311,,validated_master,10216 1/2 Alameda St Chatsworth 91311,0F580EDD-7F66-4514-B020-670250F14407_10216_1/2_Alameda_St_Chatsworth_91311,1,159,10216 1/2 Alameda St Chatsworth 91311,10216 1/2 ALAMEDA ST CHATSWORTH 91311,True,10216 1/2 Alameda St Chatsworth 91311,False,keep_original_already_validated,526,0F580EDD-7F66-4514-B020-670250F14407_10216_1/2_Alameda_St_Chatsworth_91311,10216 1/2 Alameda St Chatsworth 91311,353,10216 1/2 Alameda St Chatsworth 91311,,address,problematic_addresses__addressComplete_TRUE__6550rows_99cols__with_fraction.csv,Complete_But_Phantom_addresses_representative_[metadata].csv
