_result_source,_source_tag,_rep_address,input_address,_norm_rep_address,UniqueID,_filtered_row_id,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,_filtered_address,pattern_key,_validated_row_id,_validated_address,_validated_source_file,group_id,group_size,merge_key,FullAddress,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,UniqueID_filtered,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_has_u_pattern,_idx,_key_index,_key_usage_after_request,UniqueID_validated,_new_idx,normalized_input_address,_norm_filtered_address,_norm_validated_address,invalid_reason,source_file
old_validated_replacement,matched_old_validated,1003 1/4 N Mariposa Ave Los Angeles 90029,1005 1/4 N Mariposa Ave Los Angeles 90029,1003 1/4 N MARIPOSA AVE LOS ANGELES 90029,,41550.0,PREMISE,PREMISE,SUB_PREMISE,True,,True,CONFIRM,True,administrative_area_level_1:CA,postal_code:90006,,,"1005 1/4 Mariposa Avenue, Los Angeles, CA 90006, USA",1005 1/4 Mariposa Ave,Los Angeles,CA,90006,US,ChIJ1_5aHVbHwoARPL8J90aKSIw,34.0892,-118.2994,200,1003 1/4 N Mariposa Ave Los Angeles 90029,1/4 N MARIPOSA AVE LOS ANGELES 90029,37597.0,1005 1/4 N Mariposa Ave Los Angeles 90029,dedup_input_address_part_003__17540rows.csv,41550.0,7.0,1/4 N MARIPOSA AVE LOS ANGELES 90029,1003 1/4 N Mariposa Ave Los Angeles 90029,,5538001014,,1003.0,1/4,,North,,,Mariposa,Avenue,,,,,,,,,,,,,90029,,Los Angeles,Los Angeles,,,,,LA City,{947FF928-F963-41A7-859E-FA8A479F100D},0.0,,947FF928-F963-41A7-859E-FA8A479F100D,Unknown,,N,,,Ave,N Mariposa Ave,2024-05-12 21:05:27+00:00,947FF928-F963-41A7-859E-FA8A479F100D_1003_1/4_N_Mariposa_Ave_Los_Angeles_90029,Mariposa,1003 1/4 N Mariposa Avenue Ave Los Angeles 90029,,,POINT (6470939.923485 1854975.709944),False,38304.0,1,18305,C45D1737-D866-4E19-B1EF-30E562656D6A_1005_1/4_N_Mariposa_Ave_Los_Angeles_90029,,,1003 1/4 N MARIPOSA AVE LOS ANGELES 90029,1005 1/4 N MARIPOSA AVE LOS ANGELES 90029,possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10059 1/2 Alice St Sun Valley 91352,10059 1/2 Alice St Sun Valley 91352,10059 1/2 ALICE ST SUN VALLEY 91352,,175.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10059 1/2 Alice St, Sun Valley, CA 91352, USA",10059 1/2 Alice St,Sun Valley,CA,91352,US,ChIJoROJUGSUwoAR5XlIzWIm27M,34.2301567,-118.3520389,200,10059 1/2 Alice St Sun Valley 91352,1/2 ALICE ST SUN VALLEY 91352,12365.0,10059 1/2 Alice St Sun Valley 91352,dedup_input_address_part_001__17540rows.csv,175.0,1.0,1/2 ALICE ST SUN VALLEY 91352,10059 1/2 Alice St Sun Valley 91352,,2544020020,,10059.0,1/2,,,,,Alice,Street,,,,,,,,,,,,,91352,,Los Angeles,Sun Valley,,,,,Assessor,{87E128B6-AEB2-479D-8673-0E7A6968D2DF},0.0,,87E128B6-AEB2-479D-8673-0E7A6968D2DF,Unknown,,,,,St,Alice St,2024-04-27 17:13:09+00:00,87E128B6-AEB2-479D-8673-0E7A6968D2DF_10059_1/2_Alice_St_Sun_Valley_91352,Alice,10059 1/2 Alice Street St Los Angeles 91352,,,POINT (6455818.21718 1908424.549897),False,12386.0,0,12387,87E128B6-AEB2-479D-8673-0E7A6968D2DF_10059_1/2_Alice_St_Sun_Valley_91352,,,10059 1/2 ALICE ST SUN VALLEY 91352,10059 1/2 ALICE ST SUN VALLEY 91352,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10065 1/2 Promenade Tujunga 91042,10296 1/2 Promenade Tujunga 91042,10065 1/2 PROMENADE TUJUNGA 91042,,29506.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10296 1/2 Promenade, Tujunga, CA 91042, USA",10296 1/2 Promenade,Tujunga,CA,91042,US,ChIJAf7RFszrwoARp5SfAwIQSdA,34.2464465,-118.2761177,200,10065 1/2 Promenade Tujunga 91042,1/2 PROMENADE TUJUNGA 91042,12535.0,10296 1/2 Promenade Tujunga 91042,dedup_input_address_part_001__17540rows.csv,29506.0,3.0,1/2 PROMENADE TUJUNGA 91042,10065 1/2 Promenade Tujunga 91042,,2568008038,,10065.0,1/2,,,,,Promenade,,,,,,,,,,,,,,91042,,Los Angeles,Tujunga,,,,,Assessor,{DE606CD3-3AFD-43B8-95BF-B62601D61CE6},0.0,,DE606CD3-3AFD-43B8-95BF-B62601D61CE6,Unknown,,,,,,Promenade,2024-04-27 17:13:09+00:00,DE606CD3-3AFD-43B8-95BF-B62601D61CE6_10065_1/2_Promenade_Tujunga_91042,Promenade,10065 1/2 Promenade Los Angeles 91042,,,POINT (6474342.006248 1914249.949992),False,12756.0,0,12757,A27EE69D-D3B2-42C4-BB52-A73FF5DEEF40_10296_1/2_Promenade_Tujunga_91042,,,10065 1/2 PROMENADE TUJUNGA 91042,10296 1/2 PROMENADE TUJUNGA 91042,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10119 1/4 Foothill Blvd Bellflower 90706,10119 1/4 Foothill Blvd Bellflower 90706,10119 1/4 FOOTHILL BLVD BELLFLOWER 90706,,23794.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10119 1/4 Foothill Blvd, Bellflower, CA 90706, USA",10119 1/4 Foothill Blvd,Bellflower,CA,90706,US,ChIJ2VEHX7Ay3YARHDE_gEd0vv8,33.8822393,-118.1239717,200,10119 1/4 Foothill Blvd Bellflower 90706,1/4 FOOTHILL BLVD BELLFLOWER 90706,51154.0,10119 1/4 Foothill Blvd Bellflower 90706,dedup_input_address_part_003__17540rows.csv,23794.0,2.0,1/4 FOOTHILL BLVD BELLFLOWER 90706,10119 1/4 Foothill Blvd Bellflower 90706,,6274016054,,10119.0,1/4,,,,,Foothill,Boulevard,,,,,,,,,,,,,90706,,Bellflower ,Bellflower,,,,,Assessor,{EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB},0.0,,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB,Unknown,,,,,Blvd,Foothill Blvd,2024-04-27 17:13:09+00:00,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB_10119_1/4_Foothill_Blvd_Bellflower_90706,Foothill,10119 1/4 Foothill Boulevard Blvd Bellflower  90706,,,POINT (6525652.056187 1785541.051898),False,,0,5695,EDBA6878-980E-4DC7-BE1F-1A4FB119D5EB_10119_1/4_Foothill_Blvd_Bellflower_90706,5694.0,10119 1/4 FOOTHILL BLVD BELLFLOWER 90706,10119 1/4 FOOTHILL BLVD BELLFLOWER 90706,10119 1/4 FOOTHILL BLVD BELLFLOWER 90706,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10136 1/2 Andrew Dr Tujunga 91042,10267 1/2 Andrew Dr Tujunga 91042,10136 1/2 ANDREW DR TUJUNGA 91042,,32993.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10267 1/2 Andrew Dr, Tujunga, CA 91042, USA",10267 1/2 Andrew Dr,Tujunga,CA,91042,US,ChIJAf7RFszrwoARp5SfAwIQSdA,34.2464465,-118.2761177,200,10136 1/2 Andrew Dr Tujunga 91042,1/2 ANDREW DR TUJUNGA 91042,12442.0,10267 1/2 Andrew Dr Tujunga 91042,dedup_input_address_part_001__17540rows.csv,32993.0,4.0,1/2 ANDREW DR TUJUNGA 91042,10136 1/2 Andrew Dr Tujunga 91042,,2558026007,,10136.0,1/2,,,,,Andrew,Drive,,,,,,,,,,,,,91042,,Los Angeles,Tujunga,,,,,Assessor,{616375CD-B64F-40A6-82D1-F43A35230989},0.0,,616375CD-B64F-40A6-82D1-F43A35230989,Unknown,,,,,Dr,Andrew Dr,2024-04-27 17:13:09+00:00,616375CD-B64F-40A6-82D1-F43A35230989_10136_1/2_Andrew_Dr_Tujunga_91042,Andrew,10136 1/2 Andrew Drive Dr Los Angeles 91042,,,POINT (6472473.241285 1914743.143887),False,12663.0,0,12664,61C310C0-14B3-477A-AEF6-7227CF17AF0B_10267_1/2_Andrew_Dr_Tujunga_91042,,,10136 1/2 ANDREW DR TUJUNGA 91042,10267 1/2 ANDREW DR TUJUNGA 91042,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10147 1/2 Old Ranch Rd San Fernando 91345,10147 1/2 Old Ranch Rd San Fernando 91345,10147 1/2 OLD RANCH RD SAN FERNANDO 91345,,2032.0,PREMISE,ROUTE,ROUTE,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10147 1/2 Old Ranch Road, San Fernando, CA 91345, USA",10147 1/2 Old Ranch Rd,San Fernando,CA,91345,US,ChIJqTI-9zijwoAREXW01nqsTf0,34.0667514,-118.5013339,200,10147 1/2 Old Ranch Rd San Fernando 91345,1/2 OLD RANCH RD SAN FERNANDO 91345,13674.0,10147 1/2 Old Ranch Rd San Fernando 91345,dedup_input_address_part_001__17540rows.csv,2032.0,1.0,1/2 OLD RANCH RD SAN FERNANDO 91345,10147 1/2 Old Ranch Rd San Fernando 91345,,2660003003,,10147.0,1/2,,,,,Old Ranch,Road,,,,,,,,,,,,,91345,,Los Angeles,San Fernando,Mission Hills,,,,Assessor,{F5A4C656-C39E-4557-AA0B-9296E38A7A19},0.0,,F5A4C656-C39E-4557-AA0B-9296E38A7A19,Unknown,,,,,Rd,Old Ranch Rd,2024-04-27 17:13:09+00:00,F5A4C656-C39E-4557-AA0B-9296E38A7A19_10147_1/2_Old_Ranch_Rd_San_Fernando_91345,Old Ranch,10147 1/2 Old Ranch Road Rd Los Angeles 91345,,,POINT (6420304.153366 1915528.009115),False,13895.0,0,13896,F5A4C656-C39E-4557-AA0B-9296E38A7A19_10147_1/2_Old_Ranch_Rd_San_Fernando_91345,,,10147 1/2 OLD RANCH RD SAN FERNANDO 91345,10147 1/2 OLD RANCH RD SAN FERNANDO 91345,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,1016 1/2 Olive Ave Los Angeles 90029,1016 1/2 Olive Ave Los Angeles 90029,1016 1/2 OLIVE AVE LOS ANGELES 90029,,23197.0,PREMISE,PREMISE_PROXIMITY,PREMISE_PROXIMITY,True,True,True,FIX,,administrative_area_level_1:CA,,,,"1016 1/2 West Olive Avenue, Los Angeles, CA 90029, USA",1016 1/2 W Olive Ave,Los Angeles,CA,90029,US,EjYxMDE2IDEvMiBXZXN0IE9saXZlIEF2ZW51ZSwgTG9zIEFuZ2VsZXMsIENBIDkwMDI5LCBVU0EiMRIvChQKEgkRhoTi4b_CgBF0yP7gtReH6hD4ByoUChIJP30q7Ny_woARO_ijhOXgxbM,34.1721975,-118.3178847,200,1016 1/2 Olive Ave Los Angeles 90029,1/2 OLIVE AVE LOS ANGELES 90029,35830.0,1016 1/2 Olive Ave Los Angeles 90029,dedup_input_address_part_003__17540rows.csv,23197.0,2.0,1/2 OLIVE AVE LOS ANGELES 90029,1016 1/2 Olive Ave Los Angeles 90029,,5427014013,,1016.0,1/2,,,,,Olive,Avenue,,,,,,,,,,,,,90029,,Los Angeles,Los Angeles,,,,,Assessor,{FC3AB464-ECDC-479B-94B5-A9B61EA56DC3},0.0,,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3,Unknown,,,,,Ave,Olive Ave,2024-04-27 17:13:09+00:00,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3_1016_1/2_Olive_Ave_Los_Angeles_90029,Olive,1016 1/2 Olive Avenue Ave Los Angeles 90029,,,POINT (6476865.240375 1855285.833996),False,36537.0,1,16538,FC3AB464-ECDC-479B-94B5-A9B61EA56DC3_1016_1/2_Olive_Ave_Los_Angeles_90029,,,1016 1/2 OLIVE AVE LOS ANGELES 90029,1016 1/2 OLIVE AVE LOS ANGELES 90029,possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,102 1/2 Cll Post Ave San Dimas 91773,102 1/2 Cll Post Ave San Dimas 91773,102 1/2 CLL POST AVE SAN DIMAS 91773,,482.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"102 1/2 Cll Post Ave, San Dimas, CA 91773, USA",102 1/2 Cll Post Ave,San Dimas,CA,91773,US,ChIJE3trEDgvw4ARCMkw-eHimwM,34.1009953,-117.8194197,200,102 1/2 Cll Post Ave San Dimas 91773,1/2 CLL POST AVE SAN DIMAS 91773,65106.0,102 1/2 Cll Post Ave San Dimas 91773,dedup_input_address_part_004__17540rows.csv,482.0,1.0,1/2 CLL POST AVE SAN DIMAS 91773,102 1/2 Cll Post Ave San Dimas 91773,,8448031041,,102.0,1/2,,,Calle,,Post,Avenue,,,,,,,,,,,,,91773,,San Dimas  ,San Dimas,,,,,Assessor,{7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C},0.0,,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C,Unknown,,,,Cll,Ave,Cll Post Ave,2024-04-27 17:13:09+00:00,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C_102_1/2_Cll_Post_Ave_San_Dimas_91773,Calle Post,102 1/2 Calle Post Avenue Ave San Dimas   91773,,,POINT (6617311.119259 1848735.511139),False,,0,19651,7C4F81A5-417A-4CCC-9CE3-C1D45BDF706C_102_1/2_Cll_Post_Ave_San_Dimas_91773,19650.0,102 1/2 CLL POST AVE SAN DIMAS 91773,102 1/2 CLL POST AVE SAN DIMAS 91773,102 1/2 CLL POST AVE SAN DIMAS 91773,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10204 1/2 Rose Ct Tujunga 91042,10204 1/2 Rose Ct Tujunga 91042,10204 1/2 ROSE CT TUJUNGA 91042,,29514.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10204 1/2 Rose Ct, Tujunga, CA 91042, USA",10204 1/2 Rose Ct,Tujunga,CA,91042,US,ChIJAf7RFszrwoARp5SfAwIQSdA,34.2464465,-118.2761177,200,10204 1/2 Rose Ct Tujunga 91042,1/2 ROSE CT TUJUNGA 91042,12445.0,10204 1/2 Rose Ct Tujunga 91042,dedup_input_address_part_001__17540rows.csv,29514.0,3.0,1/2 ROSE CT TUJUNGA 91042,10204 1/2 Rose Ct Tujunga 91042,,2558031014,,10204.0,1/2,,,,,Rose,Court,,,,,,,,,,,,,91042,,Los Angeles,Tujunga,,,,,Assessor,{A727CC2D-B99A-47E2-AD8D-4470C7D08D15},0.0,,A727CC2D-B99A-47E2-AD8D-4470C7D08D15,Unknown,,,,,Ct,Rose Ct,2024-04-27 17:13:09+00:00,A727CC2D-B99A-47E2-AD8D-4470C7D08D15_10204_1/2_Rose_Ct_Tujunga_91042,Rose,10204 1/2 Rose Court Ct Los Angeles 91042,,,POINT (6472014.943317 1915044.280096),False,12666.0,0,12667,A727CC2D-B99A-47E2-AD8D-4470C7D08D15_10204_1/2_Rose_Ct_Tujunga_91042,,,10204 1/2 ROSE CT TUJUNGA 91042,10204 1/2 ROSE CT TUJUNGA 91042,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
old_validated_replacement,matched_old_validated,10216 1/2 Alameda St Chatsworth 91311,10216 1/2 Alameda St Chatsworth 91311,10216 1/2 ALAMEDA ST CHATSWORTH 91311,,159.0,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"10216 1/2 Alameda St, Chatsworth, CA 91311, USA",10216 1/2 Alameda St,Chatsworth,CA,91311,US,ChIJC6S0GRWDwoARv4lhGWvNbtc,34.2710376,-118.61481,200,10216 1/2 Alameda St Chatsworth 91311,1/2 ALAMEDA ST CHATSWORTH 91311,14549.0,10216 1/2 Alameda St Chatsworth 91311,dedup_input_address_part_001__17540rows.csv,159.0,1.0,1/2 ALAMEDA ST CHATSWORTH 91311,10216 1/2 Alameda St Chatsworth 91311,,2741005008,,10216.0,1/2,,,,,Alameda,Street,,,,,,,,,,,,,91311,,Los Angeles,Chatsworth,,,,,Assessor,{0F580EDD-7F66-4514-B020-670250F14407},0.0,,0F580EDD-7F66-4514-B020-670250F14407,Unknown,,,,,St,Alameda St,2024-04-27 17:13:09+00:00,0F580EDD-7F66-4514-B020-670250F14407_10216_1/2_Alameda_St_Chatsworth_91311,Alameda,10216 1/2 Alameda Street St Los Angeles 91311,,,POINT (6386725.849132 1915905.819055),False,14815.0,0,14816,0F580EDD-7F66-4514-B020-670250F14407_10216_1/2_Alameda_St_Chatsworth_91311,,,10216 1/2 ALAMEDA ST CHATSWORTH 91311,10216 1/2 ALAMEDA ST CHATSWORTH 91311,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,all_representative_validated_results.csv
