group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
2,1,-100 NAVY WY SAN PEDRO 90731,2500 -100 Navy Wy San Pedro 90731,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"2500 -100 Navy Way, San Pedro, CA 90731, USA",2500 -100 Navy Way,San Pedro,CA,90731,US,EiwyNTAwIC0xMDAgTmF2eSBXYXksIFNhbiBQZWRybywgQ0EgOTA3MzEsIFVTQSIuKiwKFAoSCUHmekYCN92AESg_ILc4nSMHEhQKEgmliu0WrjXdgBFfh4bwV30UBA,33.7390561,-118.242891,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
3,1,-14 DALEROSE AVE INGLEWOOD 90304,11312 -14 Dalerose Ave Inglewood 90304,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"11312 -14 Dalerose Avenue, Inglewood, CA 90304, USA",11312 -14 Dalerose Ave,Inglewood,CA,90304,US,EjMxMTMxMiAtMTQgRGFsZXJvc2UgQXZlbnVlLCBJbmdsZXdvb2QsIENBIDkwMzA0LCBVU0EiLiosChQKEglXxogZ7bbCgBGYsclz04X_bBIUChIJBRDczJK2woARya0akWiNr4Y,33.9396492,-118.3602428,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4,1,-18 DALEROSE AVE INGLEWOOD 90304,11316 -18 Dalerose Ave Inglewood 90304,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"11316 -18 Dalerose Avenue, Inglewood, CA 90304, USA",11316 -18 Dalerose Ave,Inglewood,CA,90304,US,EjMxMTMxNiAtMTggRGFsZXJvc2UgQXZlbnVlLCBJbmdsZXdvb2QsIENBIDkwMzA0LCBVU0EiLiosChQKEglXxogZ7bbCgBGYsclz04X_bBIUChIJBRDczJK2woARya0akWiNr4Y,33.9396492,-118.3602428,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
6,1,-25 ALAMO AVE BELL GARDENS 90201,8023 -25 Alamo Ave Bell Gardens 90201,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"8023 -25 Alamo Avenue, Bell Gardens, CA 90201, USA",8023 -25 Alamo Ave,Bell Gardens,CA,90201,US,EjI4MDIzIC0yNSBBbGFtbyBBdmVudWUsIEJlbGwgR2FyZGVucywgQ0EgOTAyMDEsIFVTQSIuKiwKFAoSCcew_reQzsKAEdej4NR3OWipEhQKEgkd5enifc7CgBENXv5ibpro_Q,33.9736341,-118.1762038,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
8,1,-33 169TH ST LAWNDALE 90260,4431 -33 169th St Lawndale 90260,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"4431 33 169th St, Lawndale, CA 90260, USA",4431 33 169th St,Lawndale,CA,90260,US,Eik0NDMxIDMzIDE2OXRoIFN0LCBMYXduZGFsZSwgQ0EgOTAyNjAsIFVTQSIuKiwKFAoSCeunQJ_5s8KAEREUJ_o7B6IYEhQKEgnXnzneTbTCgBFlVyzcoC62BQ,33.8985802,-118.3771231,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
13,1,-850 NAVY WY SAN PEDRO 90731,2500 -850 Navy Wy San Pedro 90731,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"2500 -850 Navy Way, San Pedro, CA 90731, USA",2500 -850 Navy Way,San Pedro,CA,90731,US,EiwyNTAwIC04NTAgTmF2eSBXYXksIFNhbiBQZWRybywgQ0EgOTA3MzEsIFVTQSIuKiwKFAoSCUHmekYCN92AESg_ILc4nSMHEhQKEgmliu0WrjXdgBFfh4bwV30UBA,33.7390561,-118.242891,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
14,1,-910 NAVY WY SAN PEDRO 90731,2500 -910 Navy Wy San Pedro 90731,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"2500 -910 Navy Way, San Pedro, CA 90731, USA",2500 -910 Navy Way,San Pedro,CA,90731,US,EiwyNTAwIC05MTAgTmF2eSBXYXksIFNhbiBQZWRybywgQ0EgOTA3MzEsIFVTQSIuKiwKFAoSCUHmekYCN92AESg_ILc4nSMHEhQKEgmliu0WrjXdgBFfh4bwV30UBA,33.7390561,-118.242891,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
15,1,-930 NAVY WY SAN PEDRO 90731,2500 -930 Navy Wy San Pedro 90731,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"2500 -930 Navy Way, San Pedro, CA 90731, USA",2500 -930 Navy Way,San Pedro,CA,90731,US,EiwyNTAwIC05MzAgTmF2eSBXYXksIFNhbiBQZWRybywgQ0EgOTA3MzEsIFVTQSIuKiwKFAoSCUHmekYCN92AESg_ILc4nSMHEhQKEgmliu0WrjXdgBFfh4bwV30UBA,33.7390561,-118.242891,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
16,1,-940 NAVY WY SAN PEDRO 90731,2500 -940 Navy Wy San Pedro 90731,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"2500 -940 Navy Way, San Pedro, CA 90731, USA",2500 -940 Navy Way,San Pedro,CA,90731,US,EiwyNTAwIC05NDAgTmF2eSBXYXksIFNhbiBQZWRybywgQ0EgOTA3MzEsIFVTQSIuKiwKFAoSCUHmekYCN92AESg_ILc4nSMHEhQKEgmliu0WrjXdgBFfh4bwV30UBA,33.7390561,-118.242891,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
17,1,001 ST CLAREMONT 91711,470 001 St   Claremont 91711,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"470 001 St, Claremont, CA 91711, USA",470 001 St,Claremont,CA,91711,US,ChIJS3H5ejcww4AR1O3bqEA4_xc,34.1707374,-117.702148,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
18,1,1 KINGSDALE AVE LAWNDALE 90260,15022 1 Kingsdale Ave Lawndale 90260,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"15022 1 Kingsdale Avenue, Lawndale, CA 90260, USA",15022 1 Kingsdale Ave,Lawndale,CA,90260,US,ChIJwYfUmze0woAREQ1fPnXjDPI,33.8982715,-118.3568333,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
19,1,1 LAUREL PARK RD COMPTON 90220,19009 1 Laurel Park Rd Unit 1 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 1 South Laurel Park Road Unit 1, Compton, CA 90220, USA",19009 1 S Laurel Park Rd Unit 1,Compton,CA,90220,US,Ej0xOTAwOSAxIFNvdXRoIExhdXJlbCBQYXJrIFJvYWQgVW5pdCAxLCBDb21wdG9uLCBDQSA5MDIyMCwgVVNBIi4qLAoUChIJp46ORbA03YARC9WQAeE6elUSFAoSCU1bHX9ry8KAEULLW5GazmsF,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
20,1,1-2 W HAMLIN ST NORTH HOLLYWOOD 91606,11818 1-2 W Hamlin St North Hollywood 91606,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"11818 1-2 West Hamlin Street, North Hollywood, CA 91606, USA",11818 1-2 W Hamlin St,North Hollywood,CA,91606,US,EjwxMTgxOCAxLTIgV2VzdCBIYW1saW4gU3RyZWV0LCBOb3J0aCBIb2xseXdvb2QsIENBIDkxNjA2LCBVU0EiLiosChQKEgmdOe_ofJbCgBGSeaXmTPVcGBIUChIJ0TEA7NOVwoARtPDh3nGzOC0,34.1885335,-118.402754,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4396,1,10 LAUREL PARK RD COMPTON 90220,19009 10 Laurel Park Rd Unit 10 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 10 South Laurel Park Road Unit 10, Compton, CA 90220, USA",19009 10 S Laurel Park Rd Unit 10,Compton,CA,90220,US,Ej8xOTAwOSAxMCBTb3V0aCBMYXVyZWwgUGFyayBSb2FkIFVuaXQgMTAsIENvbXB0b24sIENBIDkwMjIwLCBVU0EiLiosChQKEgmnjo5FsDTdgBEL1ZAB4Tp6VRIUChIJTVsdf2vLwoARQstbkZrOawU,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4398,1,100 LAUREL PARK RD COMPTON 90220,19009 100 Laurel Park Rd Unit 100 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 100 South Laurel Park Road Unit 100, Compton, CA 90220, USA",19009 100 S Laurel Park Rd Unit 100,Compton,CA,90220,US,EkExOTAwOSAxMDAgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwMCwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4400,1,101 LAUREL PARK RD COMPTON 90220,19009 101 Laurel Park Rd Unit 101 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 101 South Laurel Park Road Unit 101, Compton, CA 90220, USA",19009 101 S Laurel Park Rd Unit 101,Compton,CA,90220,US,EkExOTAwOSAxMDEgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwMSwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4403,1,102 LAUREL PARK RD COMPTON 90220,19009 102 Laurel Park Rd Unit 102 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 102 South Laurel Park Road Unit 102, Compton, CA 90220, USA",19009 102 S Laurel Park Rd Unit 102,Compton,CA,90220,US,EkExOTAwOSAxMDIgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwMiwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4405,1,103 LAUREL PARK RD COMPTON 90220,19009 103 Laurel Park Rd Unit 103 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 103 South Laurel Park Road Unit 103, Compton, CA 90220, USA",19009 103 S Laurel Park Rd Unit 103,Compton,CA,90220,US,EkExOTAwOSAxMDMgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwMywgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4407,1,104 LAUREL PARK RD COMPTON 90220,19009 104 Laurel Park Rd Unit 104 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 104 South Laurel Park Road Unit 104, Compton, CA 90220, USA",19009 104 S Laurel Park Rd Unit 104,Compton,CA,90220,US,EkExOTAwOSAxMDQgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwNCwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4409,1,105 LAUREL PARK RD COMPTON 90220,19009 105 Laurel Park Rd Unit 105 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 105 South Laurel Park Road Unit 105, Compton, CA 90220, USA",19009 105 S Laurel Park Rd Unit 105,Compton,CA,90220,US,EkExOTAwOSAxMDUgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwNSwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
