OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_matched_from_input_file,_source_file
,,,312.0,3/4,,East,,,Carson,Street,,,,,,,,,,,,,90745,,Carson,Carson,,,,,Carson GIS,{37C7382A-27EE-4059-AE73-4437B1A937E9},0.0,,37C7382A-27EE-4059-AE73-4437B1A937E9,Unknown,,E,,,St,E Carson St,2015-03-24 09:32:55+00:00,312 3/4 E Carson St Carson 90745,37C7382A-27EE-4059-AE73-4437B1A937E9_312_3/4_E_Carson_St_Carson_90745,Carson,312 3/4 E Carson Street St Carson 90745,,,POINT (6479109.137134 1761058.627766),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19407.0,,,,,,Opal,Court,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{033FCB49-609C-4DCB-86E5-0F9401ACD4D0},0.0,,033FCB49-609C-4DCB-86E5-0F9401ACD4D0,Unknown,,,,,Ct,Opal Ct,2018-04-01 13:10:59+00:00,19407 Opal Ct Cerritos 90703,033FCB49-609C-4DCB-86E5-0F9401ACD4D0_19407_Opal_Ct_Cerritos_90703,Opal,19407 Opal Court Ct Cerritos 90703,,,POINT (6547390.469403 1769360.353616),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2650.0,,,,,,Lake,Avenue,,,,,,,,,,,,,91001,,Unincorporated,Altadena,,,,,LACO DPW House Numbering Map,{4A358348-65E3-42E9-BB21-CF5C9CD150D5},0.0,,4A358348-65E3-42E9-BB21-CF5C9CD150D5,Unknown,,,,,Ave,Lake Ave,2018-03-14 18:53:28+00:00,2650 Lake Ave Altadena 91001,4A358348-65E3-42E9-BB21-CF5C9CD150D5_2650_Lake_Ave_Altadena_91001,Lake,2650 Lake Avenue Ave Altadena 91001,,,POINT (6522043.169704 1892008.123412),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19500.0,,,South,,,Rancho,Way,,,,,,,,,,,,,90220,,Unincorporated,Compton,Rancho Dominguez,,,,LACO DPW House Numbering Map,{E87A193F-6507-4E3C-9C26-1260468E5FAD},0.0,,E87A193F-6507-4E3C-9C26-1260468E5FAD,Unknown,,S,,,Wy,S Rancho Wy,2021-09-01 14:05:49+00:00,19500 S Rancho Wy Compton 90220,E87A193F-6507-4E3C-9C26-1260468E5FAD_19500_S_Rancho_Wy_Compton_90220,Rancho,19500 S Rancho Way Wy Compton 90220,,,POINT (6495041.383156 1769622.332751),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,910.0,,,West,,Del,Amo,Boulevard,,,,,,,,,,,,,90502,,Unincorporated,Torrance,,,,,LACO DPW House Numbering Map,{3270F836-E33F-44E0-9B43-E3A7C810DE5C},0.0,,3270F836-E33F-44E0-9B43-E3A7C810DE5C,Unknown,,W,,,Blvd,W Del Amo Blvd,2021-05-18 20:11:31+00:00,910 W Del Amo Blvd Torrance 90502,3270F836-E33F-44E0-9B43-E3A7C810DE5C_910_W_Del_Amo_Blvd_Torrance_90502,Del Amo,910 W Del Amo Boulevard Blvd Torrance 90502,,,POINT (6473265.061551 1766458.013293),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19427.0,,,,,,Topaz,Court,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{0FA066B8-E88F-4B93-AFA0-A5A2DE014DB2},0.0,,0FA066B8-E88F-4B93-AFA0-A5A2DE014DB2,Unknown,,,,,Ct,Topaz Ct,2018-04-01 13:12:53+00:00,19427 Topaz Ct Cerritos 90703,0FA066B8-E88F-4B93-AFA0-A5A2DE014DB2_19427_Topaz_Ct_Cerritos_90703,Topaz,19427 Topaz Court Ct Cerritos 90703,,,POINT (6547151.859972 1769219.800748),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19403.0,,,,,,Garnet,Court,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{02DB4FC3-882A-4A0F-99BB-F4FEB089987F},0.0,,02DB4FC3-882A-4A0F-99BB-F4FEB089987F,Unknown,,,,,Ct,Garnet Ct,2018-07-14 01:05:59+00:00,19403 Garnet Ct Cerritos 90703,02DB4FC3-882A-4A0F-99BB-F4FEB089987F_19403_Garnet_Ct_Cerritos_90703,Garnet,19403 Garnet Court Ct Cerritos 90703,,,POINT (6547546.189236 1769339.881216),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,1537.0,1/2,,East,,,218th,Street,,,,,,,,,,,,,90745,,Carson,Carson,,,,,Carson GIS,{9C48155F-C61D-4A9F-BBE0-9D52129522B9},0.0,,9C48155F-C61D-4A9F-BBE0-9D52129522B9,Unknown,,E,,,St,E 218th St,2015-03-24 09:32:55+00:00,1537 1/2 E 218th St Carson 90745,9C48155F-C61D-4A9F-BBE0-9D52129522B9_1537_1/2_E_218th_St_Carson_90745,218th,1537 1/2 E 218th Street St Carson 90745,,,POINT (6487332.189585 1760786.039072),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,11851.0,,,,,,Jefferson,Street,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{157DF39D-DD23-4887-880C-4259087493B0},0.0,,157DF39D-DD23-4887-880C-4259087493B0,Unknown,,,,,St,Jefferson St,2018-03-20 17:22:30+00:00,11851 Jefferson St Cerritos 90703,157DF39D-DD23-4887-880C-4259087493B0_11851_Jefferson_St_Cerritos_90703,Jefferson,11851 Jefferson Street St Cerritos 90703,,,POINT (6537332.582366 1767248.952984),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2435.0,1/2,,,,,Florencita,Drive,,,,,,,,,,,,,91020,,Unincorporated,Montrose,,,,,LACO DPW House Numbering Map,{1A2BC6FA-C307-4131-BEA4-EFEFABBCC353},0.0,,1A2BC6FA-C307-4131-BEA4-EFEFABBCC353,Unknown,,,,,Dr,Florencita Dr,2015-05-07 20:05:50+00:00,2435 1/2 Florencita Dr Montrose 91020,1A2BC6FA-C307-4131-BEA4-EFEFABBCC353_2435_1/2_Florencita_Dr_Montrose_91020,Florencita,2435 1/2 Florencita Drive Dr Montrose 91020,,,POINT (6491495.407965 1898613.543928),All_incomplete_addresses_representatives_[validationResults]_4116rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
