group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
1,1,,1524 Unit A,SUB_PREMISE,OTHER,OTHER,,True,,FIX,,,,,,"1524 Unit A, United States",1524 Unit A,,,,US,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,38.7945952,-106.5348379,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
26,1,1/2 110TH ST W LANCASTER 93536,47190 1/2 110th St W Lancaster 93536,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"47190 1/2, 110th Street West, Lancaster, CA 93536, USA",47190 1/2 | 110th St W,Lancaster,CA,93536,US,ChIJ58423oppwoARsH1it2hb5Kw,34.7393836,-118.3242073,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
29,1,1/2 131ST ST HAWTHORNE 90250,4852 1/2 131st St Hawthorne 90250,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4852 1/2, West 131st Street, Hawthorne, CA 90250, USA",4852 1/2 | W 131st St,Hawthorne,CA,90250,US,ChIJQeEiNye0woARWY9xSlpb0_g,33.9136057,-118.3631493,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
31,1,1/2 13TH ST NEWHALL 91321,22613 1/2 13Th St Newhall 91321,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"22613 1/2, 13th Street, Newhall, CA 91321, USA",22613 1/2 | 13th St,Newhall,CA,91321,US,ChIJgcOP_F-GwoAR920fdIoteDE,34.3839392,-118.5325366,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
32,1,1/2 13TH ST W PALMDALE 93551,40608 1/2 13th St W Palmdale 93551,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"40608 1/2, 13th Street West, Palmdale, CA 93551, USA",40608 1/2 | 13th St W,Palmdale,CA,93551,US,ChIJAZsXuIBZwoAR7Qf7U-6vp4g,34.6204598,-118.1540346,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
38,1,1/2 15TH PL MANHATTAN BEACH 90266,400 1/2 15th Pl Manhattan Beach 90266,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"400 1/2, 15th Place, Manhattan Beach, CA 90266, USA",400 1/2 | 15th Pl,Manhattan Beach,CA,90266,US,ChIJCQ4Hq-6zwoAR0MpbiYHpsr4,33.8881641,-118.4103184,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
41,1,1/2 165TH ST LAWNDALE 90260,4137 1/2 165th St Lawndale 90260,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4137 1/2, West 165th Street, Lawndale, CA 90260, USA",4137 1/2 | W 165th St,Lawndale,CA,90260,US,ChIJOUhCw1S0woAROmIrMxYy0Fw,33.8813335,-118.3473456,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
45,1,1/2 169TH ST LAWNDALE 90260,4218 1/2 169th St Lawndale 90260,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4218 1/2, West 169th Street, Lawndale, CA 90260, USA",4218 1/2 | W 169th St,Lawndale,CA,90260,US,ChIJi5qjff-0woARIrwm4cbX9rI,33.8773839,-118.3496316,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
49,1,1/2 17TH PL MANHATTAN BEACH 90266,228 1/2 17th Pl Manhattan Beach 90266,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"228 1/2, 17th Place, Manhattan Beach, CA 90266, USA",228 1/2 | 17th Pl,Manhattan Beach,CA,90266,US,ChIJp2OOFOmzwoARAcV225Qgh1s,33.8888976,-118.4122541,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
50,1,1/2 17TH ST MANHATTAN BEACH 90266,112 1/2 17th St Manhattan Beach 90266,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"112 1/2, 17th Street, Manhattan Beach, CA 90266, USA",112 1/2 | 17th St,Manhattan Beach,CA,90266,US,ChIJecF8dumzwoARm5fACetL5uU,33.8881464,-118.4132537,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
55,1,1/2 19TH CT HERMOSA BEACH 90254,55 1/2 19th Ct Hermosa Beach 90254,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"55 1/2, 19th Court, Hermosa Beach, CA 90254, USA",55 1/2 | 19th Ct,Hermosa Beach,CA,90254,US,ChIJy-WlAoOzwoARxteQYMMiE_o,33.8668662,-118.4024135,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
