OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_matched_from_input_file,_source_file
,,,19407.0,,,,,,Opal,Court,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{033FCB49-609C-4DCB-86E5-0F9401ACD4D0},0.0,,033FCB49-609C-4DCB-86E5-0F9401ACD4D0,Unknown,,,,,Ct,Opal Ct,2018-04-01 13:10:59+00:00,19407 Opal Ct Cerritos 90703,033FCB49-609C-4DCB-86E5-0F9401ACD4D0_19407_Opal_Ct_Cerritos_90703,Opal,19407 Opal Court Ct Cerritos 90703,,,POINT (6547390.469403 1769360.353616),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2650.0,,,,,,Lake,Avenue,,,,,,,,,,,,,91001,,Unincorporated,Altadena,,,,,LACO DPW House Numbering Map,{4A358348-65E3-42E9-BB21-CF5C9CD150D5},0.0,,4A358348-65E3-42E9-BB21-CF5C9CD150D5,Unknown,,,,,Ave,Lake Ave,2018-03-14 18:53:28+00:00,2650 Lake Ave Altadena 91001,4A358348-65E3-42E9-BB21-CF5C9CD150D5_2650_Lake_Ave_Altadena_91001,Lake,2650 Lake Avenue Ave Altadena 91001,,,POINT (6522043.169704 1892008.123412),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19500.0,,,South,,,Rancho,Way,,,,,,,,,,,,,90220,,Unincorporated,Compton,Rancho Dominguez,,,,LACO DPW House Numbering Map,{E87A193F-6507-4E3C-9C26-1260468E5FAD},0.0,,E87A193F-6507-4E3C-9C26-1260468E5FAD,Unknown,,S,,,Wy,S Rancho Wy,2021-09-01 14:05:49+00:00,19500 S Rancho Wy Compton 90220,E87A193F-6507-4E3C-9C26-1260468E5FAD_19500_S_Rancho_Wy_Compton_90220,Rancho,19500 S Rancho Way Wy Compton 90220,,,POINT (6495041.383156 1769622.332751),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,910.0,,,West,,Del,Amo,Boulevard,,,,,,,,,,,,,90502,,Unincorporated,Torrance,,,,,LACO DPW House Numbering Map,{3270F836-E33F-44E0-9B43-E3A7C810DE5C},0.0,,3270F836-E33F-44E0-9B43-E3A7C810DE5C,Unknown,,W,,,Blvd,W Del Amo Blvd,2021-05-18 20:11:31+00:00,910 W Del Amo Blvd Torrance 90502,3270F836-E33F-44E0-9B43-E3A7C810DE5C_910_W_Del_Amo_Blvd_Torrance_90502,Del Amo,910 W Del Amo Boulevard Blvd Torrance 90502,,,POINT (6473265.061551 1766458.013293),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19427.0,,,,,,Topaz,Court,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{0FA066B8-E88F-4B93-AFA0-A5A2DE014DB2},0.0,,0FA066B8-E88F-4B93-AFA0-A5A2DE014DB2,Unknown,,,,,Ct,Topaz Ct,2018-04-01 13:12:53+00:00,19427 Topaz Ct Cerritos 90703,0FA066B8-E88F-4B93-AFA0-A5A2DE014DB2_19427_Topaz_Ct_Cerritos_90703,Topaz,19427 Topaz Court Ct Cerritos 90703,,,POINT (6547151.859972 1769219.800748),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19403.0,,,,,,Garnet,Court,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{02DB4FC3-882A-4A0F-99BB-F4FEB089987F},0.0,,02DB4FC3-882A-4A0F-99BB-F4FEB089987F,Unknown,,,,,Ct,Garnet Ct,2018-07-14 01:05:59+00:00,19403 Garnet Ct Cerritos 90703,02DB4FC3-882A-4A0F-99BB-F4FEB089987F_19403_Garnet_Ct_Cerritos_90703,Garnet,19403 Garnet Court Ct Cerritos 90703,,,POINT (6547546.189236 1769339.881216),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,11851.0,,,,,,Jefferson,Street,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{157DF39D-DD23-4887-880C-4259087493B0},0.0,,157DF39D-DD23-4887-880C-4259087493B0,Unknown,,,,,St,Jefferson St,2018-03-20 17:22:30+00:00,11851 Jefferson St Cerritos 90703,157DF39D-DD23-4887-880C-4259087493B0_11851_Jefferson_St_Cerritos_90703,Jefferson,11851 Jefferson Street St Cerritos 90703,,,POINT (6537332.582366 1767248.952984),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,14315.0,,,,,,Broadway,,,,,,,,,,,,,,90604,,Unincorporated,Whittier,,,,,LACO DPW House Numbering Map,{6138FC03-F683-4F58-9508-3B2F341CADC5},0.0,,6138FC03-F683-4F58-9508-3B2F341CADC5,Unknown,,,,,,Broadway,2016-02-02 13:36:00+00:00,14315 Broadway Whittier 90604,6138FC03-F683-4F58-9508-3B2F341CADC5_14315_Broadway_Whittier_90604,Broadway,14315 Broadway Whittier 90604,,,POINT (6553722.594206 1800279.537513),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2104.0,,,North,,,Raymond,Avenue,,,,,,,,,,,,,91001,,Unincorporated,Altadena,,,,,LACO DPW House Numbering Map,{DC055854-D363-40F9-9D65-56283693F315},0.0,,DC055854-D363-40F9-9D65-56283693F315,Unknown,,N,,,Ave,N Raymond Ave,2015-05-04 20:17:53+00:00,2104 N Raymond Ave Altadena 91001,DC055854-D363-40F9-9D65-56283693F315_2104_N_Raymond_Ave_Altadena_91001,Raymond,2104 N Raymond Avenue Ave Altadena 91001,,,POINT (6516601.196008 1888600.524584),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,16714.0,,,,,,Inglewood,Avenue,,,,,,,,,,,,,90260,,Lawndale,Lawndale,,,,,Office of Assessor,{8101D197-D18E-457E-9E49-3E7DD8300B5E},0.0,,8101D197-D18E-457E-9E49-3E7DD8300B5E,Unknown,,,,,Ave,Inglewood Ave,2015-03-28 01:00:24+00:00,16714 Inglewood Ave Lawndale 90260,8101D197-D18E-457E-9E49-3E7DD8300B5E_16714_Inglewood_Ave_Lawndale_90260,Inglewood,16714 Inglewood Avenue Ave Lawndale 90260,,,POINT (6452089.881789 1778457.556879),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,11811.0,,,,,,Monroe,Street,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{0F306D39-9DAC-406E-9F54-91BAC403EE4F},0.0,,0F306D39-9DAC-406E-9F54-91BAC403EE4F,Unknown,,,,,St,Monroe St,2018-03-20 17:22:30+00:00,11811 Monroe St Cerritos 90703,0F306D39-9DAC-406E-9F54-91BAC403EE4F_11811_Monroe_St_Cerritos_90703,Monroe,11811 Monroe Street St Cerritos 90703,,,POINT (6536879.551448 1767049.511781),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,20030.0,,,,,,Adams,,,,,,,,,,,,,,90703,,Cerritos,Cerritos,,,,,Cerritos GIS,{604FDF24-ADA3-4EC2-B63F-2319502E4EB6},0.0,,604FDF24-ADA3-4EC2-B63F-2319502E4EB6,Unknown,,,,,,Adams,2018-03-20 17:22:30+00:00,20030 Adams Cerritos 90703,604FDF24-ADA3-4EC2-B63F-2319502E4EB6_20030_Adams_Cerritos_90703,Adams,20030 Adams Cerritos 90703,,,POINT (6537251.361728 1767238.123937),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,111.0,F,,East,,,220th,Street,,,,,,,,,,,,,90745,,Carson,Carson,,,,,Carson GIS,{9E951D41-AAF3-457F-BCE6-55D3AD564308},0.0,,9E951D41-AAF3-457F-BCE6-55D3AD564308,Unknown,,E,,,St,E 220th St,2015-03-24 09:32:55+00:00,111 F E 220th St Carson 90745,9E951D41-AAF3-457F-BCE6-55D3AD564308_111_F_E_220th_St_Carson_90745,220th,111 F E 220th Street St Carson 90745,,,POINT (6477637.767373 1759954.783845),Incomplete_addresses_no_fraction_[validationResults]_2309rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
