group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
4424,1,10TH ST W LANCASTER 93535,43530 10Th St W   Lancaster 93535,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,True,administrative_area_level_1:CA|postal_code_suffix:6418,postal_code:93534,,,"43530 10th Street West, Lancaster, CA 93534-6418, USA",43530 10th St W,Lancaster,CA,93534-6418,US,ChIJZ9QAB_BawoAROpSjJ0wv7ek,34.6738013,-118.1471486,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
4476,1,12TH ST PALMDALE 93551,41324 12Th St   Palmdale 93551,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:1466,,,,"41324 12th Street West, Palmdale, CA 93551-1466, USA",41324 12th St W,Palmdale,CA,93551-1466,US,ChIJ2ZsaxzFawoARueKtugjjwiQ,34.6337761,-118.1512533,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
4587,1,190TH ST TORRANCE 90502,1400 190th St Torrance 90502,PREMISE,PREMISE,SUB_PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,True,administrative_area_level_1:CA|postal_code_suffix:1139,postal_code:90501,,,"1400 West 190th Street, Torrance, CA 90501-1139, USA",1400 W 190th St,Torrance,CA,90501-1139,US,ChIJ5_WaZFe1woARwaY7st8UmMU,33.8579296,-118.3031517,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
5909,1,60TH ST LANCASTER 93536,42458 60Th St   Lancaster 93536,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:4466,,,,"42458 60th Street West, Lancaster, CA 93536-4466, USA",42458 60th St W,Lancaster,CA,93536-4466,US,ChIJUxxxfu5cwoARnnXayPuxTJM,34.654613,-118.2354714,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
5918,1,63RD AVE PLAYA DEL REY 90293,1 63rd Ave Playa Del Rey 90293,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:6503,,,,"1 63rd Avenue, Playa del Rey, CA 90293-6503, USA",1 63rd Ave,Playa del Rey,CA,90293-6503,US,ChIJr83QCW-wwoARBxItyRfseLQ,33.9617166,-118.4533515,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
5924,1,65TH ST E PALMDALE 93552,38015 65th St E Palmdale 93552,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:3401,,,,"38015 65th Street East, Palmdale, CA 93552-3401, USA",38015 65th St E,Palmdale,CA,93552-3401,US,ChIJ82fbvFX_woARc80OS7BNAck,34.5733148,-118.0148882,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6069,1,A E OLYMPIC BLVD LOS ANGELES 90023,4276 A E Olympic Blvd Los Angeles 90023,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:3344,,,,"4276 East Olympic Boulevard, Los Angeles, CA 90023-3344, USA",4276 E Olympic Blvd,Los Angeles,CA,90023-3344,US,ChIJdel4vRXPwoAR2RUhg8bORjM,34.018707,-118.1810681,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6131,1,A S DOWNEY RD LOS ANGELES 90063,509 A S Downey Rd Los Angeles 90063,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:1570,,,,"509 South Downey Road, Los Angeles, CA 90063-1570, USA",509 S Downey Rd,Los Angeles,CA,90063-1570,US,ChIJNZUgt2nPwoAREHRINJmZN8c,34.0293189,-118.1807442,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6132,1,A S FIGUEROA ST GARDENA 90248,15300 A S Figueroa St Gardena 90248,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:2150,,,,"15300 South Figueroa Street, Gardena, CA 90248-2150, USA",15300 S Figueroa St,Gardena,CA,90248-2150,US,ChIJezjJmonKwoARgI0j419Apc4,33.8921382,-118.2826051,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6136,1,A S MCDONNELL AVE LOS ANGELES 90022,1107 A S McDonnell Ave Los Angeles 90022,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:2964,,,,"1107 South McDonnell Avenue, Los Angeles, CA 90022-2964, USA",1107 S McDonnell Ave,Los Angeles,CA,90022-2964,US,ChIJr2uZdQ7PwoARhxvVM4kbvuQ,34.0198199,-118.1690904,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
