FullAddress,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_matched_from_input_file,_source_file
2150 A Citrus Pl Hacienda Heights 91745,,,,2150,A,,,,,Citrus,Place,,,,,,,,,,,,,91745,,Unincorporated,Hacienda Heights,Industry,,,,LACO DPW Add,{9BE7DFFF-F262-40C1-B199-D606A59C7DCF},0,,9BE7DFFF-F262-40C1-B199-D606A59C7DCF,Unknown,,,,,Pl,Citrus Pl,2018-11-16 07:53:21+00:00,2150 A Citrus Pl Hacienda Heights 91745,9BE7DFFF-F262-40C1-B199-D606A59C7DCF_2150_A_Citrus_Pl_Hacienda_Heights_91745,Citrus,2150 A Citrus Place Pl Hacienda Heights 91745,,,POINT (6570239.143193 1820883.1446),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
2150 B Citrus Pl Hacienda Heights 91745,,,,2150,B,,,,,Citrus,Place,,,,,,,,,,,,,91745,,Unincorporated,Hacienda Heights,Industry,,,,LACO DPW Add,{199872E4-E148-4552-A2E1-0A7DC63CA4A6},0,,199872E4-E148-4552-A2E1-0A7DC63CA4A6,Unknown,,,,,Pl,Citrus Pl,2018-11-16 07:53:21+00:00,2150 B Citrus Pl Hacienda Heights 91745,199872E4-E148-4552-A2E1-0A7DC63CA4A6_2150_B_Citrus_Pl_Hacienda_Heights_91745,Citrus,2150 B Citrus Place Pl Hacienda Heights 91745,,,POINT (6570257.893156 1820875.158723),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
904 Los Angeles 90073,,,,904,,,,,,,,,,,,,,,,,,,,90073,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{D22724AC-782F-47F6-88F6-CC59C1270CB5},0,,D22724AC-782F-47F6-88F6-CC59C1270CB5,Unknown,,,,,,,2023-02-06 07:31:58+00:00,904 Los Angeles 90073,D22724AC-782F-47F6-88F6-CC59C1270CB5_904_Los_Angeles_90073,,904 Los Angeles 90073,,,POINT (6423844.624303 1842635.134232),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
13053 La Puente 91746,,,,13053,,,,,,,,,,,,,,,,,,,,91746,,Unincorporated,La Puente,Bassett,,,,LACO DPW House Numbering Map,{1E3DA3A0-9911-4109-A6D3-54301175E66F},0,,1E3DA3A0-9911-4109-A6D3-54301175E66F,Unknown,,,,,,,2015-09-12 11:55:58+00:00,13053 La Puente 91746,1E3DA3A0-9911-4109-A6D3-54301175E66F_13053_La_Puente_91746,,13053 La Puente 91746,,,POINT (6561493.870002 1843847.53535),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
1861 Unit 243 Hacienda Heights 91745,,,,1861,,,,,,,,,,,,,,,,,,Unit,243,91745,,Unincorporated,Hacienda Heights,Industry,,,,LACO DPW House Numbering Map,{29B3F698-2776-4621-B412-4BD1F920B1E1},0,,29B3F698-2776-4621-B412-4BD1F920B1E1,Unknown,,,,,,,2021-09-01 10:59:10+00:00,1861 Unit 243 Hacienda Heights 91745,29B3F698-2776-4621-B412-4BD1F920B1E1_1861_Unit_243_Hacienda_Heights_91745,,1861 Unit 243 Hacienda Heights 91745,,,POINT (6579798.444613 1818693.765448),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
5522 San Gabriel 91776,,,,5522,,,,,,,,,,,,,,,,,,,,91776,,Unincorporated,San Gabriel,,,,,LACO DPW Add,{54F738D1-F1A8-483A-9AD1-3F334E78692F},0,,54F738D1-F1A8-483A-9AD1-3F334E78692F,Unknown,,,,,,,2019-04-16 10:33:13+00:00,5522 San Gabriel 91776,54F738D1-F1A8-483A-9AD1-3F334E78692F_5522_San_Gabriel_91776,,5522 San Gabriel 91776,,,POINT (6536383.407427 1858735.558396),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
1524 Unit A,,,,1524,,,West,,,103rd,Street,,,,,,,,,,,Unit,A,,,,,,,,,LACO DPW Add,{18884C71-546C-4CA3-9548-FFF7EBAB9CAA},0,,18884C71-546C-4CA3-9548-FFF7EBAB9CAA,Unknown,,W,,,St,,2024-05-13 17:46:22+00:00,1524 Unit A,18884C71-546C-4CA3-9548-FFF7EBAB9CAA_1524_Unit_A,103rd,1524 W 103rd Street St Unit A ,,,POINT (6469637.57504 1801701.578632),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
11606,,,,11606,,,,,,Alclad,Avenue,,,,,,,,,,,,,,,,,,,,,LACO DPW Add,{9CDE4C89-E79A-4764-93A3-33F60997EF02},0,,9CDE4C89-E79A-4764-93A3-33F60997EF02,Unknown,,,,,Ave,,2024-05-13 17:55:34+00:00,11606,9CDE4C89-E79A-4764-93A3-33F60997EF02_11606,Alclad,11606 Alclad Avenue Ave ,,,POINT (6549242.667142 1795459.08882),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
4859,,,,4859,,,West,,,112th,Street,,,,,,,,,,,,,,,,,,,,,LACO DPW Add,{709A69AA-765D-4A3E-B5E2-C14C5B309C58},0,,709A69AA-765D-4A3E-B5E2-C14C5B309C58,Unknown,,W,,,St,,2024-05-13 18:12:17+00:00,4859,709A69AA-765D-4A3E-B5E2-C14C5B309C58_4859,112th,4859 W 112th Street St ,,,POINT (6451434.190843 1798256.331586),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
Los Angeles 90063,,,,,,,,,,,,,,,,,,,,,,,,90063,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{E4C613CC-5A81-4D86-9451-9B5CB4705D13},0,,E4C613CC-5A81-4D86-9451-9B5CB4705D13,Unknown,,,,,,,2024-08-12 22:23:19+00:00,Los Angeles 90063,E4C613CC-5A81-4D86-9451-9B5CB4705D13___Los_Angeles_90063,,Los Angeles 90063,,,POINT (6505017.920618 1835696.080853),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
Los Angeles 90061,,,,,,,,,,,,,,,,,,,,,,,,90061,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{61ACFAC7-E3B2-48D9-AD42-51127AFDAA4C},0,,61ACFAC7-E3B2-48D9-AD42-51127AFDAA4C,Unknown,,,,,,,2024-10-17 21:51:54+00:00,Los Angeles 90061,61ACFAC7-E3B2-48D9-AD42-51127AFDAA4C___Los_Angeles_90061,,Los Angeles 90061,,,POINT (6477108.279915 1794109.873343),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
Lawndale 90260,,,,,,,,,,,,,,,,,,,,,,,,90260,,Unincorporated,Lawndale,,,,,LACO DPW Add,{28FA3560-7DCF-434A-86F2-09F6D9E5BD21},0,,28FA3560-7DCF-434A-86F2-09F6D9E5BD21,Utility,,,,,,,2024-10-31 18:43:02+00:00,Lawndale 90260,28FA3560-7DCF-434A-86F2-09F6D9E5BD21___Lawndale_90260,,Lawndale 90260,,,POINT (6457503.782707 1779216.860478),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
2837 South El Monte 91733,,,,2837,,,,,,,,,,,,,,,,,,,,91733,,El Monte,South El Monte,El Monte,,,,CAMS,{DCA6F141-E197-4C84-8789-8FC22F933F3E},0,,DCA6F141-E197-4C84-8789-8FC22F933F3E,Unknown,,,,,,,2018-11-14 14:26:24+00:00,2837 South El Monte 91733,DCA6F141-E197-4C84-8789-8FC22F933F3E_2837_South_El_Monte_91733,,2837 El Monte 91733,,,POINT (6551019.337473 1845089.101109),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
3787 Long Beach 90846,,,,3787,,,,,,,,,,,,,,,,,,,,90846,,Long Beach,Long Beach,,,,,CAMS,{7FD16C89-357B-4B50-B342-6B0173BF6305},0,,7FD16C89-357B-4B50-B342-6B0173BF6305,Unknown,,,,,,,2018-12-10 18:54:42+00:00,3787 Long Beach 90846,7FD16C89-357B-4B50-B342-6B0173BF6305_3787_Long_Beach_90846,,3787 Long Beach 90846,,,POINT (6517162.156828 1759521.907086),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
75 Avalon 90704,,,,75,,,,,,,,,,,,,,,,,,,,90704,,Avalon,Avalon,,,,,CAMS,{C831D39D-2407-413B-87A0-49F00207E0C7},0,,C831D39D-2407-413B-87A0-49F00207E0C7,Unknown,,,,,,,2015-12-10 11:35:25+00:00,75 Avalon 90704,C831D39D-2407-413B-87A0-49F00207E0C7_75_Avalon_90704,,75 Avalon 90704,,,POINT (6460386.103714 1588114.803707),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
13855 Unit 7 Paramount 90723,,,,13855,,,,,,,,,,,,,,,,,,Unit,7,90723,,Paramount,Paramount,,,,,Office of Assessor,{BFAD0105-69C0-406C-B522-2D191C34EA0D},0,,BFAD0105-69C0-406C-B522-2D191C34EA0D,Unknown,,,,,,,2016-10-04 15:28:23+00:00,13855 Unit 7 Paramount 90723,BFAD0105-69C0-406C-B522-2D191C34EA0D_13855_Unit_7_Paramount_90723,,13855 Unit 7 Paramount 90723,,,POINT (6512386.828124 1789564.379809),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
13100 Sylmar 91342,,,,13100,,,,,,,,,,,,,,,,,,,,91342,,Los Angeles,Sylmar,Lake View Terrace,,,,CAMS,{9EE9791E-CA64-4E6A-AED5-408F6E4E3176},0,,9EE9791E-CA64-4E6A-AED5-408F6E4E3176,Unknown,,,,,,,2015-04-18 16:00:08+00:00,13100 Sylmar 91342,9EE9791E-CA64-4E6A-AED5-408F6E4E3176_13100_Sylmar_91342,,13100 Los Angeles 91342,,,POINT (6424923.929231 1935006.150933),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
1002 Pomona 91766,,,,1002,,,,,,,,,,,,,,,,,,,,91766,,Pomona,Pomona,,,,,CAMS,{C8BF25A9-A36A-40F8-9775-CD250723EBE8},0,,C8BF25A9-A36A-40F8-9775-CD250723EBE8,Unknown,,,,,,,2022-09-06 19:26:25+00:00,1002 Pomona 91766,C8BF25A9-A36A-40F8-9775-CD250723EBE8_1002_Pomona_91766,,1002 Pomona 91766,,,POINT (6634134.038369 1839694.100416),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
2634 S La Cienega Ave Los Angeles 90034,,,,2634,,,South,,,La Cienega,Avenue,,,,,,,,,,,,,90034,,Los Angeles,Los Angeles,,,,,LA City,{3BB22B49-16E2-4FBD-9090-A8D29B77FE81},0,,3BB22B49-16E2-4FBD-9090-A8D29B77FE81,Unknown,,S,,,Ave,S La Cienega Ave,2023-09-12 23:03:18+00:00,2634 S La Cienega Ave Los Angeles 90034,3BB22B49-16E2-4FBD-9090-A8D29B77FE81_2634_S_La_Cienega_Ave_Los_Angeles_90034,La Cienega,2634 S La Cienega Avenue Ave Los Angeles 90034,,,POINT (6447084.904922 1834871.588079),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
1243 S Maple Ave Los Angeles 90015,,,,1243,,,South,,,Maple,Avenue,,,,,,,,,,,,,90015,,Los Angeles,Los Angeles,,,,,LA City,{BCEB0479-B791-445A-9260-2EC3AFD78130},0,,BCEB0479-B791-445A-9260-2EC3AFD78130,Unknown,,S,,,Ave,S Maple Ave,2023-09-12 23:03:18+00:00,1243 S Maple Ave Los Angeles 90015,BCEB0479-B791-445A-9260-2EC3AFD78130_1243_S_Maple_Ave_Los_Angeles_90015,Maple,1243 S Maple Avenue Ave Los Angeles 90015,,,POINT (6483729.299481 1835128.570833),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
353 Long Beach Grand Prix Circuit Long Beach 90802,,,,353,,,,,,Long Beach Grand Prix Circuit,,,,,,,,,,,,,,90802,,Long Beach,Long Beach,,,,,Long Beach GIS,{7FC4FEF7-EBF0-4907-AFD9-FFBE1ABAE5BD},0,,7FC4FEF7-EBF0-4907-AFD9-FFBE1ABAE5BD,Unknown,,,,,,Long Beach Grand Prix Circuit,2024-05-12 21:05:27+00:00,353 Long Beach Grand Prix Circuit Long Beach 90802,7FC4FEF7-EBF0-4907-AFD9-FFBE1ABAE5BD_353_Long_Beach_Grand_Prix_Circuit_Long_Beach_90802,Long Beach Grand Prix Circuit,353 Long Beach Grand Prix Circuit Long Beach 90802,,,POINT (6504363.894367 1737489.148986),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
425 Long Beach 90803,,,,425,,,,,,,,,,,,,,,,,,,,90803,,Long Beach,Long Beach,,,,,Long Beach GIS,{14DA8FF4-2E56-4652-9EFB-49554C90BB15},0,,14DA8FF4-2E56-4652-9EFB-49554C90BB15,Unknown,,,,,,,2024-05-12 21:05:27+00:00,425 Long Beach 90803,14DA8FF4-2E56-4652-9EFB-49554C90BB15_425_Long_Beach_90803,,425 Long Beach 90803,,,POINT (6526724.332914 1738250.011638),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
