group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
1,1,,1524 Unit A,SUB_PREMISE,OTHER,OTHER,,True,,FIX,,,,,,"1524 Unit A, United States",1524 Unit A,,,,US,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,38.7945952,-106.5348379,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
4425,1,10TH ST W LITTLEROCK 93543,42135 10Th St W   Littlerock 93543,PREMISE,PREMISE,PREMISE,,True,True,FIX,,administrative_area_level_1:CA,,,,"42135 10th Street West, Littlerock, CA 93543, USA",42135 10th St W,Littlerock,CA,93543,US,ChIJGe-rTE9awoARyP4sGYKrpzk,34.6485215,-118.1484217,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
4441,1,11606,11606,OTHER,OTHER,OTHER,,True,,FIX,,,,,,"11606, USA",,,,11606,US,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,38.7945952,-106.5348379,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
5818,1,4859,4859,OTHER,OTHER,OTHER,,,True,FIX,,neighborhood:Spruce Head|administrative_area_level_1:ME,,,,"Spruce Head, ME 04859, USA",,Spruce Head,ME,04859,US,ChIJDcZ1cgrJrUwR0DqCVdmqEhw,43.9959201,-69.1422929,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6040,1,A 172ND ST LAWNDALE 90260,4745 A 172nd St Lawndale 90260,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4745 A, West 172nd Street, Lawndale, CA 90260, USA",4745 A | W 172nd St,Lawndale,CA,90260,US,ChIJ3e4Zh1i0woAREIsTA30tvR0,33.8750923,-118.3609565,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6042,1,A ADMIRAL HIGBEE WY SAN PEDRO 90731,2600 A Admiral Higbee Wy San Pedro 90731,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2600 A, Admiral Higby Way, San Pedro, CA 90731, USA",2600 A | Admiral Higby Wy,San Pedro,CA,90731,US,ChIJz7sEl7k33YARuzrMfwnh0g0,33.7205855,-118.2714391,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6045,1,A ANTWERP ST LOS ANGELES 90059,11649 A Antwerp St Los Angeles 90059,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"11649 A, Antwerp Street, Los Angeles, CA 90059, USA",11649 A | Antwerp St,Los Angeles,CA,90059,US,ChIJJ2xxksvLwoARhGgw8LfPICI,33.9276678,-118.2485198,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6046,1,A ARCADIA AVE SAN GABRIEL 91775,8545 A Arcadia Ave San Gabriel 91775,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA|postal_code_suffix:1101,,,,"8545 A, Arcadia Avenue, San Gabriel, CA 91775-1101, USA",8545 A | Arcadia Ave,San Gabriel,CA,91775-1101,US,ChIJO1IWDhTbwoAR7w6k4j4bMMs,34.1239832,-118.0837053,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6047,1,A ARLAND AVE ROSEMEAD 91770,1920 A Arland Ave Rosemead 91770,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA|postal_code_suffix:3927,,,,"1920 A, Arland Avenue, Rosemead, CA 91770-3927, USA",1920 A | Arland Ave,Rosemead,CA,91770-3927,US,ChIJq2UeyRPQwoARZhI9AfSxcgw,34.0509819,-118.093485,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6048,1,A ASHWORTH ST CERRITOS 90703,13808 A Ashworth St Cerritos 90703,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA|postal_code_suffix:9007,,,,"13808 A, Ashworth Street, Cerritos, CA 90703-9007, USA",13808 A | Ashworth St,Cerritos,CA,90703-9007,US,ChIJw3LQRWEs3YAR6rBnQR0s0rg,33.8684467,-118.0372565,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6050,1,A BINNEY ST HACIENDA HEIGHTS 91745,16231 A Binney St Hacienda Heights 91745,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"16231 A, Binney Street, Hacienda Heights, CA 91745, USA",16231 A | Binney St,Hacienda Heights,CA,91745,US,ChIJW7dtZcPVwoAR6FJ-yGUCtpo,34.0046427,-117.9535683,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
