group_id,group_size,merge_key,FullAddress,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_has_u_pattern,_representative_address,_group,_old_addr,_validated_addr,_replaced,_rep_original_order,_rep_id_norm,_rep_addr_norm,_aligned_from_validation_order,_aligned_validation_input_address,_aligned_validation_uniqueid,_match_method,_matched_from_input_file,_source_file
2678,1,1/2 VAC/COR SIERRA HWY/AVE Q PALMDALE 93550,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,,3022021015,,0.0,1/2,,,,,Vac/Cor Sierra Hwy/Ave Q,,,,,,,,,,,,,,93550,,Unincorporated,Palmdale,,,,,LACO DPW House Numbering Map,{1B77940B-CEF3-46A8-B555-D55DFF0B7EC2},0.0,,1B77940B-CEF3-46A8-B555-D55DFF0B7EC2,Unknown,,,,,,Vac/Cor Sierra Hwy/Ave Q,2015-05-07 21:33:26+00:00,1B77940B-CEF3-46A8-B555-D55DFF0B7EC2__1/2_Vac/Cor_Sierra_Hwy/Ave_Q_Palmdale_93550,Vac/Cor Sierra Hwy/Ave Q,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,,,POINT (6526479.129992 2036192.241211),False,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,2678,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,True,705,1B77940B-CEF3-46A8-B555-D55DFF0B7EC2__1/2_Vac/Cor_Sierra_Hwy/Ave_Q_Palmdale_93550,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,13,1/2 Vac/Cor Sierra Hwy/Ave Q Palmdale 93550,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
49014,11,1/2 E 6TH ST LONG BEACH 90802,1237 1/2 E 6th St Long Beach 90802,,7266006029,,1011.0,1/2,,East,,,6th,Street,,,,,,,,,,,,,90802,,Long Beach,Long Beach,,,,,Long Beach GIS,{EC85AA31-1C37-4985-88CE-B60652D08C1F},0.0,,EC85AA31-1C37-4985-88CE-B60652D08C1F,Unknown,,E,,,St,E 6th St,2024-05-12 21:05:27+00:00,EC85AA31-1C37-4985-88CE-B60652D08C1F_1011_1/2_E_6th_St_Long_Beach_90802,6th,1011 1/2 E 6th Street St Long Beach 90802,,,POINT (6507130.713964 1740307.807391),False,1237 1/2 E 6th St Long Beach 90802,49014,1011 1/2 E 6th St Long Beach 90802,1237 1/2 E 6th St Long Beach 90802,True,2872,EC85AA31-1C37-4985-88CE-B60652D08C1F_1011_1/2_E_6th_St_Long_Beach_90802,1237 1/2 E 6th St Long Beach 90802,239,1237 1/2 E 6th St Long Beach 90802,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
1406,1,1/2 MONTEBELLO BLVD LOS ANGELES 90063,1023 1/2 Montebello Blvd Los Angeles 90063,,5229028022,,1023.0,1/2,,,,,Montebello,Boulevard,,,,,,,,,,,,,90063,,Los Angeles,Los Angeles,,,,,Assessor,{1A88E674-F750-4E6F-844D-10FEA6FFC0FF},0.0,,1A88E674-F750-4E6F-844D-10FEA6FFC0FF,Unknown,,,,,Blvd,Montebello Blvd,2024-04-27 17:13:09+00:00,1A88E674-F750-4E6F-844D-10FEA6FFC0FF_1023_1/2_Montebello_Blvd_Los_Angeles_90063,Montebello,1023 1/2 Montebello Boulevard Blvd Los Angeles 90063,,,POINT (6502565.095143 1840655.779923),False,1023 1/2 Montebello Blvd Los Angeles 90063,1406,1023 1/2 Montebello Blvd Los Angeles 90063,1023 1/2 Montebello Blvd Los Angeles 90063,True,489,1A88E674-F750-4E6F-844D-10FEA6FFC0FF_1023_1/2_Montebello_Blvd_Los_Angeles_90063,1023 1/2 Montebello Blvd Los Angeles 90063,286,1023 1/2 Montebello Blvd Los Angeles 90063,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
60862,21,1/2 N CORONADO TER LOS ANGELES 90026,415 1/2 N Coronado Ter Los Angeles 90026,,5402020016,,1033.0,1/2,,North,,,Coronado,Terrace,,,,,,,,,,,,,90026,,Los Angeles,Los Angeles,,,,,LA City,{4DB6592E-BF2B-44BC-B65F-2545AE1F4F45},0.0,,4DB6592E-BF2B-44BC-B65F-2545AE1F4F45,Unknown,,N,,,Ter,N Coronado Ter,2024-05-12 21:05:27+00:00,4DB6592E-BF2B-44BC-B65F-2545AE1F4F45_1033_1/2_N_Coronado_Ter_Los_Angeles_90026,Coronado,1033 1/2 N Coronado Terrace Ter Los Angeles 90026,,,POINT (6480320.133399 1851147.416748),False,415 1/2 N Coronado Ter Los Angeles 90026,60862,1033 1/2 N Coronado Ter Los Angeles 90026,415 1/2 N Coronado Ter Los Angeles 90026,True,3166,4DB6592E-BF2B-44BC-B65F-2545AE1F4F45_1033_1/2_N_Coronado_Ter_Los_Angeles_90026,415 1/2 N Coronado Ter Los Angeles 90026,302,415 1/2 N Coronado Ter Los Angeles 90026,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
1118,1,1/2 HUNTINGTON DR EL MONTE 91731,10446 1/2 Huntington Dr El Monte 91731,,8576023017,,10446.0,1/2,,,,,Huntington,Drive,,,,,,,,,,,,,91731,,El Monte,El Monte,,,,,Assessor,{2AB319C0-FA6C-4691-88FB-5B8696255ECC},0.0,,2AB319C0-FA6C-4691-88FB-5B8696255ECC,Unknown,,,,,Dr,Huntington Dr,2024-04-27 06:55:51+00:00,2AB319C0-FA6C-4691-88FB-5B8696255ECC_10446_1/2_Huntington_Dr_El_Monte_91731,Huntington,10446 1/2 Huntington Drive Dr El Monte 91731,,,POINT (6548833.099391 1853173.776869),False,10446 1/2 Huntington Dr El Monte 91731,1118,10446 1/2 Huntington Dr El Monte 91731,10446 1/2 Huntington Dr El Monte 91731,True,373,2AB319C0-FA6C-4691-88FB-5B8696255ECC_10446_1/2_Huntington_Dr_El_Monte_91731,10446 1/2 Huntington Dr El Monte 91731,322,10446 1/2 Huntington Dr El Monte 91731,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
2562,1,1/2 SEPULVEDA BLVD NORTH HOLLYWOOD 91602,10661 1/2 Sepulveda Blvd North Hollywood 91602,,2423017102,,10661.0,1/2,,,,,Sepulveda,Boulevard,,,,,,,,,,,,,91602,,Los Angeles,North Hollywood,Toluca Lake,,,,Assessor,{DB1883EC-41A2-41B1-BAC0-8CBB18268055},0.0,,DB1883EC-41A2-41B1-BAC0-8CBB18268055,Unknown,,,,,Blvd,Sepulveda Blvd,2024-05-12 21:05:27+00:00,DB1883EC-41A2-41B1-BAC0-8CBB18268055_10661_1/2_Sepulveda_Blvd_North_Hollywood_91602,Sepulveda,10661 1/2 Sepulveda Boulevard Blvd Los Angeles 91602,,,POINT (6451720.87006 1877090.966567),False,10661 1/2 Sepulveda Blvd North Hollywood 91602,2562,10661 1/2 Sepulveda Blvd North Hollywood 91602,10661 1/2 Sepulveda Blvd North Hollywood 91602,True,656,DB1883EC-41A2-41B1-BAC0-8CBB18268055_10661_1/2_Sepulveda_Blvd_North_Hollywood_91602,10661 1/2 Sepulveda Blvd North Hollywood 91602,359,10661 1/2 Sepulveda Blvd North Hollywood 91602,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
22676,2,1/2 E 67TH ST INGLEWOOD 90302,1141 1/2 E 67th St Inglewood 90302,,4013006004,,1108.0,1/2,,East,,,67th,Street,,,,,,,,,,,,,90302,,Inglewood,Inglewood,,,,,Inglewood GIS,{DEE45F73-06E8-4416-89F7-5B22A9C974C5},0.0,,DEE45F73-06E8-4416-89F7-5B22A9C974C5,Unknown,,E,,,St,E 67th St,2015-03-27 15:08:58+00:00,DEE45F73-06E8-4416-89F7-5B22A9C974C5_1108_1/2_E_67th_St_Inglewood_90302,67th,1108 1/2 E 67th Street St Inglewood 90302,,,POINT (6459512.45487 1814300.096742),False,1141 1/2 E 67th St Inglewood 90302,22676,1108 1/2 E 67th St Inglewood 90302,1141 1/2 E 67th St Inglewood 90302,True,1669,DEE45F73-06E8-4416-89F7-5B22A9C974C5_1108_1/2_E_67th_St_Inglewood_90302,1141 1/2 E 67th St Inglewood 90302,421,1141 1/2 E 67th St Inglewood 90302,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
29324,3,1/2 LA TIJERA BLVD TEMPLE CITY 91780,11139 1/2 La Tijera Blvd Temple City 91780,,8573032076,,11139.0,1/2,,,,,La Tijera,Boulevard,,,,,,,,,,,,,91780,,Unincorporated,Temple City,,,,,Assessor,{4FCF3CD4-2EE4-4F3F-BF7C-0D345CA8B5F0},0.0,,4FCF3CD4-2EE4-4F3F-BF7C-0D345CA8B5F0,Unknown,,,,,Blvd,La Tijera Blvd,2024-04-27 06:55:51+00:00,4FCF3CD4-2EE4-4F3F-BF7C-0D345CA8B5F0_11139_1/2_La_Tijera_Blvd_Temple_City_91780,La Tijera,11139 1/2 La Tijera Boulevard Blvd Temple City 91780,,,POINT (6553451.477294 1859889.936993),False,11139 1/2 La Tijera Blvd Temple City 91780,29324,11139 1/2 La Tijera Blvd Temple City 91780,11139 1/2 La Tijera Blvd Temple City 91780,True,2092,4FCF3CD4-2EE4-4F3F-BF7C-0D345CA8B5F0_11139_1/2_La_Tijera_Blvd_Temple_City_91780,11139 1/2 La Tijera Blvd Temple City 91780,442,11139 1/2 La Tijera Blvd Temple City 91780,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
1141,1,1/2 IRENA AVE LOS ANGELES 90006,1118 1/2 Irena Ave Los Angeles 90006,,5076010009,,1118.0,1/2,,,,,Irena,Avenue,,,,,,,,,,,,,90006,,Los Angeles,Los Angeles,,,,,Assessor,{93E417E5-F87F-4D29-A29F-7465696ECEE9},0.0,,93E417E5-F87F-4D29-A29F-7465696ECEE9,Unknown,,,,,Ave,Irena Ave,2024-04-27 17:13:09+00:00,93E417E5-F87F-4D29-A29F-7465696ECEE9_1118_1/2_Irena_Ave_Los_Angeles_90006,Irena,1118 1/2 Irena Avenue Ave Los Angeles 90006,,,POINT (6473751.986431 1840724.194156),False,1118 1/2 Irena Ave Los Angeles 90006,1141,1118 1/2 Irena Ave Los Angeles 90006,1118 1/2 Irena Ave Los Angeles 90006,True,378,93E417E5-F87F-4D29-A29F-7465696ECEE9_1118_1/2_Irena_Ave_Los_Angeles_90006,1118 1/2 Irena Ave Los Angeles 90006,445,1118 1/2 Irena Ave Los Angeles 90006,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
1278,1,1/2 LOCH AVON DR WHITTIER 90606,11223 1/2 Loch Avon Dr Whittier 90606,,8171005022,,11223.0,1/2,,,,,Loch Avon,Drive,,,,,,,,,,,,,90606,,Unincorporated,Whittier,,,,,LACO DPW Add,{5C6386AC-6DEC-4645-BCA3-0F693E155BA7},0.0,,5C6386AC-6DEC-4645-BCA3-0F693E155BA7,Unknown,,,,,Dr,Loch Avon Dr,2018-06-05 15:28:33+00:00,5C6386AC-6DEC-4645-BCA3-0F693E155BA7_11223_1/2_Loch_Avon_Dr_Whittier_90606,Loch Avon,11223 1/2 Loch Avon Drive Dr Whittier 90606,,,POINT (6543174.982099 1816324.087445),False,11223 1/2 Loch Avon Dr Whittier 90606,1278,11223 1/2 Loch Avon Dr Whittier 90606,11223 1/2 Loch Avon Dr Whittier 90606,True,433,5C6386AC-6DEC-4645-BCA3-0F693E155BA7_11223_1/2_Loch_Avon_Dr_Whittier_90606,11223 1/2 Loch Avon Dr Whittier 90606,461,11223 1/2 Loch Avon Dr Whittier 90606,,address,Incomplete_addresses_with_fraction_[validationResults]_1857rows.csv,All_incomplete_addresses_representatives_[metadata]_4217rows.csv
