OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_has_u_pattern
,,,14123.0,U,,,,,Marquesas,Way,,,,,,,,,,,,,90292,,Unincorporated,Marina Del Rey,,,,,LACO DPW Add,{7CCDDDB7-573F-4A17-9012-939A9C5D8A2A},0.0,,7CCDDDB7-573F-4A17-9012-939A9C5D8A2A,Utility,,,,,Wy,Marquesas Wy,2024-07-17 18:16:05+00:00,14123 U Marquesas Wy Marina Del Rey 90292,7CCDDDB7-573F-4A17-9012-939A9C5D8A2A_14123_U_Marquesas_Wy_Marina_Del_Rey_90292,Marquesas,14123 U Marquesas Way Wy Marina Del Rey 90292,,,POINT (6422525.427467 1814272.160446),True
,,,13590.0,U,,,,,Davenport,Road,,,,,,,,,,,,,91390,,Unincorporated,Santa Clarita,Agua Dulce,,,,LACO DPW Add,{BF57FD10-FA61-4CB8-A848-D5FC71DA5FB1},0.0,,BF57FD10-FA61-4CB8-A848-D5FC71DA5FB1,Unknown,,,,,Rd,Davenport Rd,2024-07-17 18:16:05+00:00,13590 U Davenport Rd Santa Clarita 91390,BF57FD10-FA61-4CB8-A848-D5FC71DA5FB1_13590_U_Davenport_Rd_Santa_Clarita_91390,Davenport,13590 U Davenport Road Rd Santa Clarita 91390,,,POINT (6449208.763864 1998254.318072),True
,,,3306.0,U,,,,,Folsom,Street,,,,,,,,,,,,,90063,,Unincorporated,Los Angeles,,,,,Office of Assessor,{F785384D-449A-4A71-80F7-8CA1D22FE63D},0.0,,F785384D-449A-4A71-80F7-8CA1D22FE63D,Utility,,,,,St,Folsom St,2024-07-17 18:16:05+00:00,3306 U Folsom St Los Angeles 90063,F785384D-449A-4A71-80F7-8CA1D22FE63D_3306_U_Folsom_St_Los_Angeles_90063,Folsom,3306 U Folsom Street St Los Angeles 90063,,,POINT (6503366.130614 1838176.943017),True
,,,6353.0,U,,,,,Parmelee,Avenue,,,,,,,,,,,,,90001,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{763425C1-DBCB-46F8-BFF7-529638864E32},0.0,,763425C1-DBCB-46F8-BFF7-529638864E32,Utility,,,,,Ave,Parmelee Ave,2024-07-17 18:16:05+00:00,6353 U Parmelee Ave Los Angeles 90001,763425C1-DBCB-46F8-BFF7-529638864E32_6353_U_Parmelee_Ave_Los_Angeles_90001,Parmelee,6353 U Parmelee Avenue Ave Los Angeles 90001,,,POINT (6485882.116042 1815907.962293),True
,,,8590.0,U,,,,,Duarte,Road,,,,,,,,,,,,,91775,,Unincorporated,San Gabriel,,,,,LACO DPW Add,{44EAA5C2-FDBA-41EF-873D-EFED93E73078},0.0,,44EAA5C2-FDBA-41EF-873D-EFED93E73078,Utility,,,,,Rd,Duarte Rd,2024-07-17 18:16:05+00:00,8590 U Duarte Rd San Gabriel 91775,44EAA5C2-FDBA-41EF-873D-EFED93E73078_8590_U_Duarte_Rd_San_Gabriel_91775,Duarte,8590 U Duarte Road Rd San Gabriel 91775,,,POINT (6536833.647997 1866377.022444),True
,,,1500.0,U,,South,,,Jellick,Avenue,,,,,,,,,,,,,91748,,Unincorporated,Rowland Heights,Industry,,,,LACO DPW Add,{CC48B014-6585-4F13-A0C8-B8AD35C9E981},0.0,,CC48B014-6585-4F13-A0C8-B8AD35C9E981,Unknown,,S,,,Ave,S Jellick Ave,2024-07-17 18:16:05+00:00,1500 U S Jellick Ave Rowland Heights 91748,CC48B014-6585-4F13-A0C8-B8AD35C9E981_1500_U_S_Jellick_Ave_Rowland_Heights_91748,Jellick,1500 U S Jellick Avenue Ave Rowland Heights 91748,,,POINT (6591715.086134 1818968.011947),True
,,,7322.0,U,,,,,Seville,Avenue,,,,,,,,,,,,,90255,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW Add,{99D0E2FF-5071-4147-A811-4BDDEB0018EE},0.0,,99D0E2FF-5071-4147-A811-4BDDEB0018EE,Utility,,,,,Ave,Seville Ave,2024-07-17 18:16:05+00:00,7322 U Seville Ave Huntington Park 90255,99D0E2FF-5071-4147-A811-4BDDEB0018EE_7322_U_Seville_Ave_Huntington_Park_90255,Seville,7322 U Seville Avenue Ave Huntington Park 90255,,,POINT (6494251.482833 1812409.877425),True
,,,8520.0,U,,,,,Lou Dillon,Avenue,,,,,,,,,,,,,90002,,Unincorporated,Los Angeles,,,,,CAMS,{D9036101-610D-4E06-947E-70D9D173C7C1},0.0,,D9036101-610D-4E06-947E-70D9D173C7C1,Utility,,,,,Ave,Lou Dillon Ave,2024-07-17 18:16:05+00:00,8520 U Lou Dillon Ave Los Angeles 90002,D9036101-610D-4E06-947E-70D9D173C7C1_8520_U_Lou_Dillon_Ave_Los_Angeles_90002,Lou Dillon,8520 U Lou Dillon Avenue Ave Los Angeles 90002,,,POINT (6490524.557216 1808096.111775),True
,,,9035.0,U,,,,,Duarte,Road,,,,,,,,,,,,,91775,,Unincorporated,San Gabriel,,,,,LACO DPW Add,{C356ED38-604D-44D9-836F-1519AAA272B9},0.0,,C356ED38-604D-44D9-836F-1519AAA272B9,Utility,,,,,Rd,Duarte Rd,2024-07-17 18:16:05+00:00,9035 U Duarte Rd San Gabriel 91775,C356ED38-604D-44D9-836F-1519AAA272B9_9035_U_Duarte_Rd_San_Gabriel_91775,Duarte,9035 U Duarte Road Rd San Gabriel 91775,,,POINT (6539921.570627 1867284.273582),True
,,,1411.0,U,,,,,Fontenoy,Avenue,,,,,,,,,,,,,90601,,Unincorporated,Whittier,City of Industry,,,,LACO DPW Add,{4D749C15-C593-41ED-9B00-4BF126982E41},0.0,,4D749C15-C593-41ED-9B00-4BF126982E41,Unknown,,,,,Ave,Fontenoy Ave,2024-07-17 18:16:05+00:00,1411 U Fontenoy Ave Whittier 90601,4D749C15-C593-41ED-9B00-4BF126982E41_1411_U_Fontenoy_Ave_Whittier_90601,Fontenoy,1411 U Fontenoy Avenue Ave Whittier 90601,,,POINT (6558692.477967 1834705.849238),True
